"AAPG Bulletin","AAPG Bull."
"Berichte der Deutschen Physikalischen Gesellschaft","Ber. Dtsch. Phys. Ges."
"Berichte der Deutschen Wetterdienstes","Ber. Dtsch. Wetterdienstes"
"Berichte uber die Gesamte Physiologie und Experimentalle Pharmakologie","Ber. Gesamte Physiol. Exp. Pharmakol."
"Best Practice & Research, Clinical Haematology","Best Pract. Res. Clin. Haematol."
"Beton- und Stahlbetonbau","Beton- Stahlbetonbau"
"Betonwerk und Fertigteil Technik","Betonwerk Fertigteil Tech."
"Biedermanns Zentralblatt","Biedermanns Zentralbl."
"Biedermanns Zentralblatt Abteilung A: Allgemeiner und Referierender Teil","Biedermanns Zentralbl. Abt. A"
"Biedermanns Zentralblatt Abteilung B: Tierernahrung","Biedermanns Zentralbl. Abt. B"
"Bio-Medical Materials and Engineering","Bio-Med. Mater. Eng."
"BioMedical Engineering","Biomed. Eng."
"Biocatalysis and Biotransformation","Biocatal. Biotransform."
"Biochemical Archives","Biochem. Arch."
"Biochemical Education","Biochem. Educ."
"Biochemical Engineering Journal","Biochem. Eng. J."
"Biochemical Genetics","Biochem. Genet."
"Biochemical Journal","Biochem. J"
"Biochemical Medicine and Metabolic Biology","Biochem. Med. Metab. Biol."
"Biochemical Pharmacology","Biochem. Pharmacol."
"Biochemical Preparations","Biochem. Prep."
"Biochemical Society Symposium","Biochem. Soc. Symp."
"Biochemical Society Transactions","Biochem. Soc. Trans."
"Biochemical Systematics and Ecology","Biochem. Syst. Ecol."
"Biochemical and Biophysical Research Communications","Biochem. Biophys. Res. Commun."
"Biochemical and Molecular Medicine","Biochem. Mol. Med."
"Biochemistry and Cell Biology-Biochimie et Biologie Cellulaire","Biochem. Cell Biol."
"Biochemistry and Molecular Biology Education","Biochem. Mol. Biol. Educ."
"Biochemistry and Molecular Biology International","Biochem. Mol. Biol. Int."
"Biochimica et Biophysica Acta","Biochim. Biophys. Acta"
"Biochimica et Biophysica Acta (BBA) - Biophysics including Photosynthesis","Biochim. Biophys. Acta, Biophys. Incl. Photsynth."
"Biochimica et Biophysica Acta, Bioenergetics","Biochim. Biophys. Acta, Bioenerg."
"Biochimica et Biophysica Acta, Biomembranes","Biochim. Biophys. Acta, Biomembr."
"Biochimica et Biophysica Acta, Enzymology","Biochim. Biophys. Acta, Enzymol."
"Biochimica et Biophysica Acta, Enzymology and Biological Oxidation","Biochim. Biophys. Acta, Enzymol. Biol. Oxid."
"Biochimica et Biophysica Acta, Gene Regulatory Mechanisms","Biochim. Biophys. Acta, Gene Regul. Mech."
"Biochimica et Biophysica Acta, Gene Structure and Expression","Biochim. Biophys. Acta, Gene Struct. Expression"
"Biochimica et Biophysica Acta, General Subjects","Biochim. Biophys. Acta, Gen. Subj."
"Biochimica et Biophysica Acta, Lipids and Lipid Metabolism","Biochim. Biophys. Acta, Lipids Lipid Metab."
"Biochimica et Biophysica Acta, Molecular Basis of Disease","Biochim. Biophys. Acta, Mol. Basis Dis."
"Biochimica et Biophysica Acta, Molecular Cell Research","Biochim. Biophys. Acta, Mol. Cell. Res."
"Biochimica et Biophysica Acta, Molecular and Cell Biology of Lipids","Biochim. Biophys. Acta, Mol. Cell. Biol. Lipids"
"Biochimica et Biophysica Acta, Mucoproteins and Mucopolysaccharides","Biochim. Biophys. Acta, Mucroproteins Mucopolysaccharides"
"Biochimica et Biophysica Acta, Nucleic Acids and Protein Synthesis","Biochim. Biophys. Acta, Nucleic Acids Protein Synth."
"Biochimica et Biophysica Acta, Protein Structure","Biochim. Biophys. Acta, Protein Struct."
"Biochimica et Biophysica Acta, Protein Structure and Molecular Enzymology","Biochim. Biophys. Acta, Protein Struct. Mol. Enzymol."
"Biochimica et Biophysica Acta, Proteins and Proteomics","Biochim. Biophys. Acta, Proteins Proteomics"
"Biochimica et Biophysica Acta, Reviews on Bioenergetics","Biochim. Biophys. Acta, Rev. Bioenerg."
"Biochimica et Biophysica Acta, Reviews on Biomembranes","Biochim. Biophys. Acta, Rev. Biomembr."
"Biochimica et Biophysica Acta, Reviews on Cancer","Biochim. Biophys. Acta, Rev. Cancer"
"Bioconjugate Chemistry","Bioconjugate Chem."
"Biocontrol Science","Biocontrol Sci."
"Biocontrol Science and Technology","Biocontrol Sci. Technol."
"Bioelectrochemistry and Bioenergetics","Bioelectrochem. Bioenerg."
"Biofuels, Bioproducts and Biorefining","Biofuels, Bioprod. Biorefin."
"Biogenic Amines","Biog. Amines"
"Bioinformatics and Biology Insights","Bioinf. Biol. Insights"
"Bioinspiration & Biomimetics","Bioinspiration Biomimetics"
"Biological Chemistry","Biol. Chem."
"Biological Chemistry Hoppe-Seyler","Biol. Chem. Hoppe-Seyler"
"Biological Control","Biol. Control"
"Biological Cybernetics","Biol. Cybern."
"Biological Engineering","Biol. Eng."
"Biological Journal of the Linnean Society","Biol. J. Linn. Soc."
"Biological Mass Spectrometry","Biol. Mass Spectrom."
"Biological Membranes","Biol. Membr."
"Biological Trace Element Research","Biol. Trace Elem. Res."
"Biological and Medical Physics, Biomedical Engineering","Biol. Med. Phys. Biomed. Eng."
"Biological and Pharmaceutical Bulletin","Biol. Pharm. Bull."
"Biologie in unserer Zeit","Biol. unserer Zeit"
"Biology Letters","Biol. Lett."
"Biology and Fertility of Soils","Biol. Fertil. Soils"
"Biomass and Bioenergy","Biomass Bioenergy"
"Biomaterials Artificial Cells and Artificial Organs","Biomater. Artif. Cells Artif. Organs"
"Biomaterials Medical Devices and Artificial Organs","Biomater. Med. Devices Artif. Organs"
"Biomechanics and Modeling in Mechanobiology","Biomech. Model. Mechanobiol."
"Biomedica Biochimica Acta","Biomed. Biochim. Acta"
"Biomedical Chromatography","Biomed. Chromatogr."
"Biomedical Imaging and Intervention Journal","Biomed. Imaging Intervention J."
"Biomedical Materials","Biomed. Mater."
"Biomedical Microdevices","Biomed. Microdevices"
"Biomedical Research on Trace Elements","Biomed. Res. Trace Elem."
"Biomedical Sciences Instrumentation","Biomed. Sci. Instrum."
"Biomedical Signal Processing and Control","Biomed. Signal Process. Control"
"Biomedical and Environmental Sciences","Biomed. Environ. Sci."
"Biomedicine & Pharmacotherapy","Biomed. Pharmacother."
"Biomedizinische Technik","Biomed. Tech."
"Biomolecular Engineering","Biomol. Eng"
"Bioorganic Chemistry","Bioorg. Chem."
"Bioorganic Chemistry and Applications","Bioorg. Chem. App."
"Bioorganic and Medicinal Chemistry","Bioorg. Med. Chem."
"Bioorganic and Medicinal Chemistry Letters","Bioorg. Med. Chem. Lett."
"Bioorganicheskaya Khimiya (Russian Journal of Bioorganic Chemistry)","Bioorg. Khim"
"Biopharmaceutics and Drug Disposition","Biopharm. Drug Dispos."
"Biophysical Chemistry","Biophys. Chem."
"Biophysical Journal","Biophys. J."
"Biophysical Reviews","Biophys. Rev."
"Biophysical Reviews and Letters","Biophys. Rev. Lett."
"Biopreservation and Biobanking","Biopreserv. Biobanking"
"Bioprocess Engineering","Bioprocess. Eng."
"Bioprocess International","Bioprocess Int."
"Bioprocess and Biosystems Engineering","Bioprocess Biosyst. Eng."
"Bioprocessing Journal","Bioprocess. J."
"Bioremediation Journal","Biorem. J."
"Bioresource Technology","Bioresour. Technol."
"Bioscience Biotechnology and Biochemistry","Biosci. Biotechnol., Biochem."
"Bioscience Horizons","Biosci. Horiz."
"Bioscience Reports","Biosci. Rep."
"Biosciences, Biotechnology Research Asia","Biosci. Biotechnol. Res. Asia"
"Biosensors and Bioelectronics","Biosens. Bioelectron."
"Biosystems Engineering","Biosystems Eng."
"Biotechnic and Histochemistry","Biotech. Histochem."
"Biotechnologie, Agronomie, Societe et Environnement","Biotechnol. Agron. Soc. Environ."
"Biotechnology Advances","Biotechnol. Adv."
"Biotechnology Journal","Biotechnol. J."
"Biotechnology Letters","Biotechnol. Lett"
"Biotechnology Progress","Biotechnol. Prog."
"Biotechnology Techniques","Biotechnol. Tech."
"Biotechnology and Applied Biochemistry","Biotechnol. Appl. Biochem."
"Biotechnology and Bioengineering","Biotechnol. Bioeng."
"Biotechnology and Bioprocess Engineering","Biotechnol. Bioprocess Eng."
"Biotechnology and Biotechnological Equipment","Biotechnol. Biotechnol. Equip."
"Biotechnology and Development Monitor","Biotechnol. Dev. Monit."
"Biotechnology for Biofuels","Biotechnol. Biofuels"
"Boletim Tecnico da Producao de Petroleo","Bol. Tec. Prod. Pet."
"Boletin Geologico y Minero","Bol. Geol. Min."
"Boletin Latinoamericano y del Caribe de Plantas Medicinales y Aromaticas","Bol. Latinoam. Caribe Plant. Med. Aromat."
"Boletin de la Sociedad Chilena de Quimica","Bol. Soc. Chil. Quim."
"Boletin de la Sociedad Espanola de Ceramica y Vidrio","Bol. Soc. Esp. Ceram. Vidrio"
"Bollettino - Unione Italiana Chimici Igienisti","Boll. Unione Ital Chim. Ig."
"Bollettino dei Chimici Igienisti","Boll. Chim. Ig."
"Boreal Environment Research","Boreal Environ. Res."
"Botanical Review","Bot. Rev."
"Boundary-Layer Meteorology","Boundary Layer Meteorol."
"Brain Research","Brain Res."
"Brain Research Bulletin","Brain Res. Bull."
"Brain Research Protocols","Brain Res. Protoc."
"Brain Research Reviews","Brain Res. Rev."
"Brazilian Journal of Aquatic Sciences and Technology","Braz. J. Aquat. Sci. Technol."
"Brazilian Journal of Chemical Engineering","Braz. J. Chem. Eng."
"Brazilian Journal of Chemistry","Braz. J. Chem."
"Brazilian Journal of Food Technology","Braz. J. Food Technol."
"Brazilian Journal of Materials Science and Engineering","Braz. J. Mater. Sci. Eng."
"Brazilian Journal of Oceanography","Braz. J. Oceanogr."
"Brazilian Journal of Physics","Braz. J. Phys."
"Brennstoff-Warme-Kraft","Brennst.-Warme-Kraft"
"BrewingScience - Monatsschrift fur Brauwissenschaft","BrewingSci. Monatsschr. Brauwiss."
"Briefings in Bioinformatics","Briefings Bioinf."
"British Ceramic Transactions","Br. Ceram. Trans."
"British Corrosion Journal","Br. Corros. J."
"British Journal for the History of Science","Br. J. Hist. Sci."
"British Journal of Applied Physics","Br. J. Appl. Phys."
"British Journal of Haematology","Br. J. Haematol."
"British Journal of Nutrition","Br. J. Nutr."
"British Journal of Pharmacology","Br. J. Pharmacol."
"British Journal of Sports Medicine","Br. J. Sports Med."
"British Polymer Journa","Br. Polym. J."
"Building Science","Build. Sci."
"Building Services Engineering Research and Technology","Build. Serv. Eng. Res. Technol."
"Building Simulation","Build. Simul."
"Building and Environment","Build. Environ."
"Bulgarian Journal of Physics","Bulg. J. Phys."
"Bulletin - Society of Vacuum Coaters","Bull. Soc. Vac. Coaters"
"Bulletin Institute of Mining and Metallurgy","Bull. Inst. Min. Metall."
"Bulletin Norges Geologiske Undersoekels","Bull. Nor. Geol. Unders."
"Bulletin de l'Institut Pasteur","Bull. Inst. Pasteur"
"Bulletin de la Classe des Sciences, Academie Royale de Belgique","Bull. Cl. Sci. Acad. R. Belg."
"Bulletin de la Societe Chimique de France","Bull. Soc. Chim. Fr."
"Bulletin de la Societe Francaise de Physique","Bull. Soc. Fr. Phys."
"Bulletin de la Societe Geologique de France","Bull. Soc. Geol. Fr."
"Bulletin de la Societe de Pathologie Exotique","Bull. Soc. Pathol. Exot."
"Bulletin des Societes Chimiques Belges","Bull. Soc. Chim. Belg."
"Bulletin for the History of Chemistry","Bull. Hist. Chem."
"Bulletin of Canadian Petroleum Geology","Bull. Can. Petrol. Geol."
"Bulletin of ECerS","Bull. ECerS"
"Bulletin of Earthquake Engineering","Bull. Earthquake Eng."
"Bulletin of Electrochemistry","Bull. Electrochem."
"Bulletin of Engineering Geology and the Environment","Bull. Eng. Geol. Environ."
"Bulletin of Entomological Research","Bull. Entomol. Res."
"Bulletin of Environment Contamination and Toxicology","Bull. Environ. Contam. Toxicol."
"Bulletin of Experimental Biology and Medicine","Bull. Exp. Biol. Med."
"Bulletin of Glaciological Research","Bull. Glaciol. Res."
"Bulletin of Marine Science","Bull. Mar. Sci."
"Bulletin of Materials Science","Bull. Mater. Sci."
"Bulletin of Mathematical Biology","Bull. Math. Biol."
"Bulletin of Volcanology","Bull. Volcanol."
"Bulletin of the American Meteorological Society","Bull. Am. Meteorol. Soc."
"Bulletin of the Astronomical Society of India","Bull. Astron. Soc. India"
"Bulletin of the Chemical Society of Ethiopia","Bull. Chem. Soc. Ethiop."
"Bulletin of the Chemical Society of Japan","Bull. Chem. Soc. Jpn."
"Bulletin of the Entomological Society of America","Bull. Entomol. Soc. Am."
"Bulletin of the European Ceramic Society","Bull. Eur. Ceram. Soc."
"Bulletin of the Geological Society of Denmark","Bull. Geol. Soc. Den."
"Bulletin of the Indian Vacuum Society","Bull. Indian Vac. Soc."
"Bulletin of the International Association of Engineering Geology","Bull. Int. Assoc. Eng. Geol."
"Bulletin of the International Dairy Association","Bull. Int. Dairy Assoc."
"Bulletin of the Korean Chemical Society","Bull. Korean Chem. Soc."
"Bulletin of the Polish Academy of Sciences Chemistry","Bull. Pol. Acad. Sci., Chem."
"Bulletin of the Seismological Society of America","Bull. Seismol. Soc. Am."
"Bureau of Mines Information Circular","Bur. Mines Inf. Circ."
"Bureau of Mines Report of Investigations","Bur. Mines Rep. Invest."
"CIM Bulletin","CIM Bull."
"CIRP Annals","CIRP Ann."
"CIRP Journal of Manufacturing Science and Technology","CIRP J. Manuf. Sci. Technol."
"CNS Drug Reviews","CNS Drug Rev."
"CNS Neuroscience & Therapeutics","CNS Neurosci. Ther."
"COSPAR Colloquia Series","COSPAR Colloq. Ser."
"CPP Chemical Plants and Processing","CPP Chem. Plants and Process."
"Cahiers d'Informations Techniques / Revue de Metallurgie","Cah. Inf. Tech./Rev Metall"
"Calphad - Computer Coupling of Phase Diagrams and Thermochemistry","Calphad"
"Cambridge University Medical Society Magazine","Cambridge Univ. Med. Soc. Mag."
"Canadian Applied Mathematics Quarterly","Can. Appl. Math. Q."
"Canadian Bee Journal","Can. Bee J."
"Canadian Ceramics Quarterly","Can. Ceram. Q."
"Canadian Journal of Agricultural Science","Can. J. Agr. Sci."
"Canadian Journal of Analytical Sciences and Spectroscopy","Can. J. Anal. Sci. Spectros."
"Canadian Journal of Animal Science","Can. J. Anim. Sci."
"Canadian Journal of Biochemistry","Can. J. Biochem."
"Canadian Journal of Chemical Engineering","Can. J. Chem. Eng."
"Canadian Journal of Chemistry","Can. J. Chem."
"Canadian Journal of Civil Engineering","Can. J. Civ. Eng."
"Canadian Journal of Earth Sciences","Can. J. Earth Sci."
"Canadian Journal of Fisheries and Aquatic Sciences","Can. J. Fish. Aquat. Sci."
"Canadian Journal of Forest Research","Can. J. For. Res."
"Canadian Journal of Genetics and Cytology","Can. J. Genet. Cytol."
"Canadian Journal of Mathematics","Can. J. Math."
"Canadian Journal of Microbiology","Can. J. Microbiol."
"Canadian Journal of Pharmaceutical Sciences","Can. J. Pharm. Sci."
"Canadian Journal of Physics","Can. J. Phys."
"Canadian Journal of Physiology and Pharmacology","Can. J. Physiol. Pharmacol."
"Canadian Journal of Plant Pathology","Can. J. Plant Pathol."
"Canadian Journal of Plant Science","Can. J. Plant Sci."
"Canadian Journal of Pure & Applied Science","Can. J. Pure Appl. Sci."
"Canadian Journal of Research","Can. J. Res."
"Canadian Journal of Soil Science","Can. J. Soil Sci."
"Canadian Journal of Sport Science","Can. J. Sport Sci."
"Canadian Mathematical Bulletin","Can. Math. Bull."
"Canadian Metallurgical Quarterly","Can. Metall. Q."
"Canadian Mineralogist","Can. Mineral."
"Canadian Mining Journal","Can. Min. J."
"Cancer Chemotheraphy and Pharmacology","Cancer Chemother. Pharmacol."
"Cancer Nanotechnology","Cancer Nanotechnol."
"Carbohydrate Chemistry","Carbohydr. Chem."
"Carbohydrate Letters","Carbohydr. Lett."
"Carbohydrate Polymers","Carbohydr. Polym."
"Carbohydrate Research","Carbohydr. Res."
"Carbon Balance and Management","Carbon Balance Manage."
"Carbonates and Evaporites","Carbonates Evaporites"
"Cardiovascular Drug Reviews","Cardiovasc. Drug Rev."
"Cardiovascular Therapeutics","Cardiovasc. Ther."
"Catalysis Communications","Catal. Commun."
"Catalysis Letters","Catal. Lett."
"Catalysis Reviews - Science and Engineering","Catal. Rev. Sci. Eng."
"Catalysis Surveys from Asia","Catal. Surv. Asia"
"Catalysis Surveys from Japan","Catal. Surv. Jpn."
"Catalysis Today","Catal. Today"
"Catalysis in Industry","Catal. Ind."
"Cell Biochemistry and Function","Cell Biochem. Funct."
"Cell Biology International","Cell Biol. Int."
"Cell Death and Differentiation","Cell Death Differ."
"Cell Differentiation and Development","Cell Differ. Dev."
"Cell Preservation and Technology","Cell Preserv. Technol."
"Cellular & Molecular Biology Letters","Cell. Mol. Biol. Lett."
"Cellular Physiology and Biochemistry","Cell. Physiol. Biochem."
"Cellular Polymers","Cell. Polym."
"Cellular Signalling","Cell. Signalling"
"Cellular and Molecular Bioengineering","Cell. Mol. Bioeng."
"Cellular and Molecular Life Sciences","Cell. Mol. Life Sci."
"Cellulose Chemistry and Technology","Cellul. Chem. Technol."
"Cement and Concrete Composites","Cem. Concr. Compos."
"Cement and Concrete Research","Cem. Concr. Res."
"Central European Journal of Chemistry","Cent. Eur. J. Chem."
"Central European Journal of Energetic Materials","Cent. Eur. J. Energetic Mater."
"Central European Journal of Physics","Cent. Eur. J. Phys."
"Central Nervous System Agents in Medicinal Chemistry","Cent. Nerv. Syst. Agents Med. Chem."
"Ceramic Engineering and Science Proceedings","Ceram. Eng. Sci. Proc."
"Ceramic Transactions","Ceram. Trans."
"Ceramics - Silikaty","Ceram. Silik."
"Ceramics International","Ceram. Int."
"Cereal Chemistry","Cereal Chem."
"Cereal Research Communications","Cereal Res. Commun."
"Chaos, Solitons & Fractals","Chaos Solitons Fractals"
"Chem-Bio Informatics Journal","Chem-Bio Inf. J."
"ChemBioChem","ChemBioChem"
"ChemCatChem","ChemCatChem"
"ChemMedChem","ChemMedChem"
"ChemPhysChem","ChemPhysChem"
"ChemSusChem","ChemSusChem"
"ChemTech","Chem. Tech."
"Chemia Analityczna","Chem. Anal. (Warsaw)"
"Chemical Biology and Drug Design","Chem. Biol. Drug Des."
