"$K$-Monographs in Mathematics","$K$-Monogr. Math."
"Series on Optimization","Ser. Optim."
"Series in Pure Mathematics","Ser. Pure Math."
"Serie Scientifica","Ser. Sci."
"Series on Soviet and East European Mathematics","Ser. Soviet East European Math."
"Series on Stability, Vibration and Control of Structures","Ser. Stab. Vib. Control Struct."
"Series on Stability, Vibration and Control of Systems","Ser. Stab. Vib. Control Syst. Ser. B"
"Series on University Mathematics","Ser. Univ. Math."
"Series on Work and Organization","Ser. Work Organ."
"Serdica","Serdica Math. J."
"Set-Valued Analysis","Set-Valued Anal."
"Shandong Daxue Xuebao","Shandong Daxue Xuebao Ziran Kexue Ban"
"Shandong Kuangye Xueyuan Xuebao","Shandong Kuangye Xueyuan Xuebao"
"Shanghai Shifan Daxue Xuebao","Shanghai Shifan Daxue Xuebao Ziran Kexue Ban"
"\cyr Sibirskaya Shkola Algebry i Logiki","Sib. Shk. Algebry Log."
"Siberian Advances in Mathematics","Siberian Adv. Math."
"Siberian Journal of Computer Mathematics","Siberian J. Comput. Math."
"Siberian Journal of Differential Equations","Siberian J. Differential Equations"
"Siberian Mathematical Journal","Siberian Math. J."
"Siberian School of Algebra and Logic","Siberian School Algebra Logic"
"Rossiyskaya Akademiya Nauk","Sibirsk. Mat. Zh."
"Sichuan Daxue Xuebao","Sichuan Daxue Xuebao"
"Sichuan Shifan Daxue Xuebao","Sichuan Shifan Daxue Xuebao Ziran Kexue Ban"
"Sigma Series in Applied Mathematics","Sigma Ser. Appl. Math."
"Sigma Series in Pure Mathematics","Sigma Ser. Pure Math."
"Signal Processing and Digital Filtering","Signal Process. Digit. Filtering"
"Sitzungsberichte der Mathematisch-Naturwissenschaftlichen Klasse","Sitzungsber. Math.-Naturwiss. Kl."
"Sitzungsberichte der Wissenschaftlichen Gesellschaft an der Johann Wolfgang Goethe-Universität Frankfurt am Main","Sitzungsber. Wiss. Ges. Johann Wolfgang Goethe-Univ. Frankfurt am Main"
"Sixth-Generation Computer Technology Series","Sixth-Gener. Comput. Tech. Ser."
"Skripten zur Mathematischen Statistik","Skript. Math. Statist."
"Skrypty Uniwersytetu Śląskiego","Skrypty Uniw. Śląskiego"
"Smarandache Notions Journal","Smarandache Notions J."
"Social Choice and Welfare","Soc. Choice Welf."
"Software, Environments, and Tools","Software Environ. Tools"
"Solid Mechanics and its Applications","Solid Mech. Appl."
"Sonderdruck aus Schriften der Sudetendeutschen Akademie der Wissenschaften und Küntse","Sonderdr. Schr. Sudet.dtsch. Akad. Wiss. Künste Forsch.beitr. Nat.wiss. Kl."
"Akademiya Nauk Gruzii","Soobshch. Akad. Nauk Gruzii"
"\cyr Soobshcheniya Ob\cdprime edinennogo Instituta Yadernykh Issledovaniy","Soobshch. Ob\cdprime ed. Inst. Yadernykh Issled. Dubna"
"\cyr Soobshcheniya po Prikladnoy Matematike","Soobshch. Prikl. Mat."
"Soochow Journal of Mathematics","Soochow J. Math."
"Sorites","Sorites"
"Sources in the History of Mathematics and Physical Sciences","Sources Hist. Math. Phys. Sci."
"South African Statistical Journal","South African Statist. J."
"Southeast Asian Bulletin of Mathematics","Southeast Asian Bull. Math."
"Southwest Journal of Pure and Applied Mathematics","Southwest J. Pure Appl. Math."
"\cyr Sovremennaya Matematika---Studentam i Aspirantam","Sovrem. Mat.---Stud. Aspir."
"\cyr Sovremennye Problemy Fiziki","Sovrem. Probl. Fiz."
"\cyr Sovremennye Problemy Matematiki","Sovrem. Probl. Mat. Fund. Naprav."
"Spektrum Lehrbuch","Spektrum Lehrbuch"
"Spektrum-Bibliothek","Spektrum-Bibl."
"Spektrum-HochschulTaschenbuch","Spektrum-HochschulTaschenb."
"Spekulation und Erfahrung","Spekulation Erfahrung Abt. II Unters."
"Springer Finance","Springer Finance"
"Springer Lehrbuch Mathematik","Springer Lehrbuch Math."
"Springer Monographs in Mathematics","Springer Monogr. Math."
"Springer Series in Computational Mathematics","Springer Ser. Comput. Math."
"Springer Series in Discrete Mathematics and Theoretical Computer Science","Springer Ser. Discrete Math. Theor. Comput. Sci."
"Springer Series in Information Sciences","Springer Ser. Inform. Sci."
"Springer Series in Nonlinear Dynamics","Springer Ser. Nonlinear Dynam."
"Springer Series in Operations Research","Springer Ser. Oper. Res."
"Springer Series in Solid-State Sciences","Springer Ser. Solid-State Sci."
"Springer Series in Statistics","Springer Ser. Statist."
"Springer Series in Statistics: Perspectives in Statistics","Springer Ser. Statist. Perspect. Statist."
"Springer Series in Synergetics","Springer Ser. Synergetics"
"Springer Series on Wave Phenomena","Springer Ser. Wave Phenomena"
"Springer Texts in Statistics","Springer Texts Statist."
"Springer Tracts in Modern Physics","Springer Tracts Modern Phys."
"Springer Tracts in Natural Philosophy","Springer Tracts Nat. Philos."
"Springer Undergraduate Mathematics Series","Springer Undergrad. Math. Ser."
"Springer-Lehrbuch","Springer-Lehrbuch"
"St","St. Petersburg Math. J."
"Stability and Control: Theory, Methods and Applications","Stability Control Theory Methods Appl."
"Stanford Lectures","Stanford Lectures"
"Statistics for Biology and Health","Stat. Biol. Health"
"Statistics for Engineering and Physical Science","Stat. Eng. Phys. Sci."
"Statistics for Industry and Technology","Stat. Ind. Technol."
"Statistique Mathématique et Probabilité","Stat. Math. Probab."
"Statistics and Computing","Statist. Comput."
"Statistics & Decisions","Statist. Decisions"
"Statistical Modeling and Decision Science","Statist. Model. Decis. Sci."
"Statistica Neerlandica","Statist. Neerlandica"
"Statistical Papers","Statist. Papers"
"Statistics & Probability Letters","Statist. Probab. Lett."
"Statistical Science","Statist. Sci."
"Statistica Sinica","Statist. Sinica"
"Statistics: Textbooks and Monographs","Statist. Textbooks Monogr."
"Statistica","Statistica (Bologna)"
"Statistics","Statistics"
"Stochastic Analysis and Applications","Stochastic Anal. Appl."
"Stochastic Modeling","Stochastic Model."
"Stochastic Modeling Series","Stochastic Model. Ser."
"Stochastic Processes and their Applications","Stochastic Process. Appl."
"Stochastics Monographs","Stochastics Monogr."
"Stochastics and Stochastics Reports","Stochastics Stochastics Rep."
"Structural Topology","Structural Topology"
"Studies in Advanced Mathematics","Stud. Adv. Math."
"Studies in Applied Mathematics","Stud. Appl. Math."
"Studies in Applied Mechanics","Stud. Appl. Mech."
"Studii şi Cercetări Matematice","Stud. Cerc. Mat."
"Studii şi Cercetări de Mecanică Aplicată","Stud. Cerc. Mec. Apl."
"Studies in Classification, Data Analysis, and Knowledge Organization","Stud. Classification Data Anal. Knowledge Organ."
"Studies in Computational Mathematics","Stud. Comput. Math."
"Studies in Computer Science and Artif. Intell.","Stud. Comput. Sci. Artif. Intell."
"Studies in Dynamical Economic Science","Stud. Dynam. Econom. Sci."
"Studies in Economic Theory","Stud. Econom. Theory"
"Studies in Empirical Economics","Stud. Empir. Econom."
"Studies in Fuzziness","Stud. Fuzziness"
"Studies in Fuzziness and Soft Computing","Stud. Fuzziness Soft Comput."
"Studies in General Philosophy of Science","Stud. Gen. Philos. Sci."
"Studies in High Energy Physics Cosmology and Gravitation","Stud. High Energy Phys. Cosmol. Gravit."
"Studies in History and Philosophy of Science","Stud. Hist. Philos. Sci."
"Studies in History and Philosophy of Science","Stud. Hist. Philos. Sci. B Stud. Hist. Philos. Modern Phys."
"Studies in Logic and Computation","Stud. Logic Comput."
"Studies in Logic and the Foundations of Mathematics","Stud. Logic Found. Math."
"Studies in Logic, Language and Information","Stud. Logic Lang. Inform."
"Studies in Mathematics and its Applications","Stud. Math. Appl."
"Studies in Mathematics Education Series","Stud. Math. Ed. Ser."
"Studies in Mathematical and Managerial Economics","Stud. Math. Managerial Econom."
"Studies in Mathematical Physics","Stud. Math. Phys."
"Studies in Nonlinear Dynamics and Econometrics","Stud. Nonlinear Dyn. Econom."
"Studies of Nonlinear Phenomena in Life Science","Stud. Nonlinear Phenom. Life Sci."
"Studia Philosophica et Historica","Stud. Philos. Hist."
"Studies in Philosophy and the History of Philosophy","Stud. Philos. Hist. Philos."
"Studia","Stud. Univ. Babeș-Bolyai Inform."
"Studies of the University of Transport and Communications in Žilina","Stud. Univ. Transp. Commun. Žilina Math.-Phys. Ser."
"Studies of University in Žilina","Stud. Univ. Žilina Math. Phys. Ser."
"Studien zur Wissenschafts-, Sozial- und Bildungsgeschichte der Mathematik","Stud. Wiss. Soz. Bildungsgesch. Math."
"Studien zur Österreichischen Philosophie","Stud. Österr. Philos."
"Studi Galileiani","Studi Galileiani"
"Studi dell'Istituto Gramsci Siciliano","Studi Ist. Gramsci Sicil."
"Poznańskie Towarzystwo Przyjaciół Nauk","Studia Automat. Inform."
"Studia Leibnitiana","Studia Leibnitiana"
"Studia Logica","Studia Logica"
"Studia Mathematica","Studia Math."
"Studia Scientiarum Mathematicarum Hungarica","Studia Sci. Math. Hungar."
"Universitatis Babeș-Bolyai","Studia Univ. Babeș-Bolyai Math."
"Universitatis Babeș-Bolyai","Studia Univ. Babeș-Bolyai Phys."
"Academy of Science of the People's Democratic Republic of Korea","Su-hak"
"The Subnuclear Series","Subnucl. Ser."
"Sudhoffs Archiv","Sudhoffs Arch."
"Sugaku Expositions","Sugaku Expositions"
"Die Suid-Afrikaanse Tydskrif vir Natuurwetenskap en Tegnologie","Suid-Afrikaanse Tydskr. Natuurwetenskap Tegnol."
"Surveys in Applied Mathematics","Surveys Appl. Math."
"Surveys on Mathematics for Industry","Surveys Math. Indust."
"\cyr Svyaz\cprime Vremen","Svyaz\cprime Vremen"
"Symbolic and Numeric Computation Series","Symbol. Numer. Comput. Ser."
"Symmetry: Culture and Science","Symmetry Cult. Sci."
"Symposia Gaussiana","Sympos. Gaussiana"
"Symposia Mathematica","Sympos. Math."
"Symposion","Symposion"
"Synergie---Syntropie---Nichtlineare Systeme","Synerg. Syntropie Nichtlineare Syst."
"Synthese","Synthese"
"Synthese Library","Synthese Lib."
"Systems & Control: Foundations & Applications","Systems Control Found. Appl."
"Systems, Control and Information","Systems Control Inform."
"Systems & Control Letters","Systems Control Lett."
"Technical University of Wrocław","Systems Sci."
"Systems Science and Mathematical Sciences","Systems Sci. Math. Sci."
"Séminaire d'Analyse Moderne","Sém. Anal. Moderne"
"Séminaire Lotharingien de Combinatoire","Sém. Lothar. Combin."
"Séminaire de Mathématique de Luxembourg","Sém. Math. Luxembourg"
"Séminaire d'Analyse","Sémin. Anal. Univ. Blaise Pascal (Clermont II)"
"Séminaires et Congrès","Sémin. Congr."
"Séminaire de Théorie Spectrale et Géométrie","Sémin. Théor. Spectr. Géom."
"Séminaire: Équations aux Dérivées Partielles","Sémin. Équ. Dériv. Partielles"
"TKO","TKO"
"T\lasp bilisis A","T\lasp bilis. A. Razmadzis Saxel. Mat\lasp. Inst. Shromebi"
"Tabriz University Series","Tabriz Univ. Ser."
"Taiwanese Journal of Mathematics","Taiwanese J. Math."
"Tamkang Journal of Mathematics","Tamkang J. Math."
"Tamsui Oxford Journal of Mathematical Sciences","Tamsui Oxf. J. Math. Sci."
"Tamsui Oxford Journal of Management Sciences","Tamsui Oxford J. Management Sci."
"Tartu Ülikooli Toimetised","Tartu Ül. Toimetised"
"Tata Institute of Fundamental Research Lectures on Mathematics and Physics","Tata Inst. Fund. Res. Lectures on Math. and Phys."
"Tatra Mountains Mathematical Publications","Tatra Mt. Math. Publ."
"The Taylor & Francis Systems and Control Book Series","Taylor & Francis Syst. Control Book Ser."
"Tbilisskiy Gosudarstvennyy Universitet","Tbiliss. Gos. Univ. Inst. Prikl. Mat. Trudy"
"Technical Report","Tech. Rep."
"Kansai University","Tech. Rep. Kansai Univ."
"Technology Reports of the Osaka University","Tech. Rep. Osaka Univ."
"Technical Sciences: Advances in Electronics","Tech. Sci. Adv. Electron."
"Technometrics","Technometrics"
"The Tensor Society","Tensor (N.S.)"
"Teoriya Funktsiy, Funktsional\cprime nyy Analiz i ikh Prilozheniya","Teor. Funktsiy Funktsional. Anal. i Prilozhen."
"\cyr Teoriya i Metody Sistemnogo Analiza","Teor. Metod. Sistem. Anal."
"\cyr Teoriya Veroyatnostey i Matematicheskaya Statistika","Teor. Veroyatnost. Mat. Statist."
"Rossíiskaya Akademiya Nauk","Teor. Veroyatnost. i Primenen."
"Rossíiskaya Akademiya Nauk","Teoret. Mat. Fiz."
"Donetskiy Gosudarstvennyy Universitet","Teoret. i Prikl. Mekh. (Donetsk)"
"Belorusskiy Politekhnicheskiy Institut","Teoret. i Prikl. Mekh. (Minsk)"
"Teoreticheskaya Elektrotekhnika","Teoret. Elektrotekhn."
"Teoria","Teoria (N.S.)"
"Test","Test"
"Teubner Skripten zur Mathematischen Stochastik","Teubner Skr. Math. Stochastik"
"Teubner Skripten zur Numerik","Teubner Skr. Numer."
"Teubner Studienbücher Mathematik","Teubner Studienbüch. Math."
"Teubner-Archiv zur Mathematik","Teubner-Arch. Math."
"Teubner-Archiv zur Mathematik","Teubner-Arch. Math. Suppl."
"Teubner-Texte zur Informatik","Teubner-Texte Inform."
"Teubner-Texte zur Mathematik","Teubner-Texte Math."
"The Texas Journal of Science","Texas J. Sci."
"Textbooks in Mathematical Sciences","Textbooks Math. Sci."
"Texte zur Didaktik der Mathematik","Texte Didakt. Math."
"Textos del Bronce","Textos Bronce"
"Textos de Matemática","Textos Mat. Sér. B"
"Texts in Applied Mathematics","Texts Appl. Math."
"Texts and Monographs in Physics","Texts Monogr. Phys."
"Texts and Monographs in Symbolic Computation","Texts Monogr. Symbol. Comput."
"Texts and Readings in Mathematics","Texts Read. Math."
"Texts in Statistical Science Series","Texts Statist. Sci. Ser."
"Texts in Theoretical Computer Science","Texts Theoret. Comput. Sci. EATCS Ser."
"Theoretical and Applied Mechanics","Theoret. Appl. Mech."
"Theoretical Computer Science","Theoret. Comput. Sci."
"Theoretical Linguistics","Theoret. Linguist."
"Theoretical and Mathematical Physics","Theoret. and Math. Phys."
"Theoria","Theoria"
"Theoria","Theoria (San Sebastián) (2)"
"Theoria et Historia Scientiarum","Theoria Hist. Sci."
"Theory and Applications of Categories","Theory Appl. Categ."
"Theory and Applications of Transport in Porous Media","Theory Appl. Transp. Porous Media"
"Theory of Computing Systems","Theory Comput. Syst."
"Theory and Decision Library","Theory Decis. Lib. Ser. B Math. Statist. Methods"
"Theory and Decision Library","Theory Decis. Lib. Ser. D System Theory Knowledge Eng. Probl. Solving"
"Theory and Engineering Applications of Computational Methods","Theory Eng. Appl. Comput. Methods"
"Theory of Probability and its Applications","Theory Probab. Appl."
"Theory of Probability and Mathematical Statistics","Theory Probab. Math. Statist."
"Theory and Decision","Theory and Decision"
"Tohoku Mathematical Publications","Tohoku Math. Publ."
"Tokyo Journal of Mathematics","Tokyo J. Math."
"Tongji Daxue Xuebao","Tongji Daxue Xuebao Ziran Kexue Ban"
"Top","Top"
"Topics in Physical Chemistry","Top. Phys. Chem."
"Topics in Discrete Mathematics","Topics Discrete Math."
"Topics in Engineering","Topics Eng."
"Topics in Computer Mathematics","Topics in Comput. Math."
"Topoi","Topoi"
"Topological Methods in Nonlinear Analysis","Topol. Methods Nonlinear Anal."
"Topology","Topology"
"Topology and its Applications","Topology Appl."
"Topology Proceedings","Topology Proc."
"Trudy Matematicheskogo Instituta Imeni V","Tr. Mat. Inst. Steklova"
"Trudy Moskovskogo Matematicheskogo Obshchestva","Tr. Mosk. Mat. Obs."
"Trudy Petrozavodskogo Gosudarstvennogo Universiteta","Tr. Petrozavodsk. Gos. Univ. Ser. Mat."
"Trabalhos de Investigação","Trab. Invest."
"Traité des Nouvelles Technologies","Traité Nouvelles Tech."
"American Society of Mechanical Engineers","Trans. ASME J. Appl. Mech."
"Transactions of the American Mathematical Society","Trans. Amer. Math. Soc."
"Transactions of the American Philosophical Society","Trans. Amer. Philos. Soc."
"Information Processing Society of Japan","Trans. Inform. Process. Soc. Japan"
"Institute of Systems, Control and Information Engineers","Trans. Inst. Systems Control Inform. Engrs."
"Transactions of the Japan Academy","Trans. Japan Acad."
"Transactions of the Moscow Mathematical Society","Trans. Moscow Math. Soc."
"Tianjin University","Trans. Tianjin Univ."
"Transformation Groups","Transform. Groups"
"Translations of Mathematical Monographs","Transl. Math. Monogr."
"Transport Theory and Statistical Physics","Transport Theory Statist. Phys."
"Travaux du Centre de Recherches Sémiologiques","Travaux Centre Rech. Sémiol."
"Travaux de Logique","Travaux Log."
"Travaux en Cours","Travaux en Cours"
"Trends in Logic---Studia Logica Library","Trends Log. Stud. Log. Libr."
"Trends in Mathematics","Trends Math."
"Rossíiskaya Akademiya Nauk","Trudy Fiz. Inst. Lebedev."
"Kazanskiy Universitet","Trudy Geom. Sem. Kazan. Univ."
"\cyr Trudy Instituta Obshchey Fiziki","Trudy IOFAN"
"\cyr Trudy Instituta Matematiki","Trudy Inst. Mat."
"Rossíiskaya Akademiya Nauk","Trudy Mat. Inst. Steklov."
"Trudy Sankt-Peterburgskogo Matematicheskogo Obshchestva","Trudy S.-Peterburg. Mat. Obshch."
"Trudy Seminara po Kraevym Zadacham","Trudy Sem. Kraev. Zadacham"
"Moskovskiy Universitet","Trudy Sem. Petrovsk."
"Trudy Seminara po Vektornomu i Tenzornomu Analizu s ikh Prilozheniyami k Geometrii, Mekhanike i Fizike","Trudy Sem. Vektor. Tenzor. Anal."
"Tbilisskiy Universitet","Trudy Tbiliss. Univ. Mat. Mekh. Astronom."
"Tsinghua Science and Technology","Tsinghua Sci. Technol."
"Tsukuba Journal of Mathematics","Tsukuba J. Math."
"Turkish Journal of Mathematics","Turkish J. Math."
"The Tōhoku Mathematical Journal","Tōhoku Math. J. (2)"
"The UMAP Journal","UMAP J."
"Uchenye Zapiski Tsentralnogo Aero-Gidrodinamicheskogo Instituta (TsAGI)","Uchen. Zap. TsAGI"
"Ukrainskiy Geometricheskiy Sbornik","Ukrain. Geom. Sb."
"Ukrainian Mathematical Journal","Ukrainian Math. J."
"Ulam Quarterly","Ulam Quart."
"Ultra Scientist of Physical Sciences","Ultra Sci. Phys. Sci."
"Undergraduate Texts in Computer Science","Undergrad. Texts Comput. Sci."
"Undergraduate Texts in Mathematics","Undergrad. Texts Math."
"Understanding Chemical Reactivity","Underst. Chem. React."
"Univerzitet u Beogradu","Univ. Beograd. Publ. Elektrotehn. Fak. Ser. Mat."
"Universitatis Iagellonicae","Univ. Iagel. Acta Math."
"University of Joensuu, Department of Mathematics Report Series","Univ. Joensuu Dept. Math. Rep. Ser."
"University of Jordan Publications","Univ. Jordan Publ."
"University Lecture Series","Univ. Lecture Ser."
"Universidad Nacional de Tucumán","Univ. Nac. Tucumán Rev. Ser. A"
"University of Oulu Report Series in Physical Sciences","Univ. Oulu Rep. Ser. Phys. Sci."
"The University Series in Mathematics","Univ. Ser. Math."
"University of Western Ontario Series in Philosophy of Science","Univ. Western Ontario Ser. Philos. Sci."
"Universitext","Universitext"
"Unsolved Problems in Intuitive Mathematics","Unsolved Probl. in Intuitive Math."
"Ural\cprime skiy Gosudarstvennyy Universitet im","Ural. Gos. Univ. Mat. Zap."
"Rossíiskaya Akademiya Nauk","Uspekhi Mat. Nauk"
"Utilitas Mathematica","Util. Math."
"Utilitas Mathematica","Utilitas Math."
"Akademiya Nauk Respubliki Uzbekistan","Uzbek. Mat. Zh."
"Vancouver Studies in Cognitive Science","Vancouver Stud. Cogn. Sci."
"Various Publications Series","Various Publ. Ser."
"Verständliche Forschung","Verständl. Forsch."
"Veröffentlichungen des Leibniz-Archivs","Veröffentl. Leibniz-Archivs"
"Vesta Company Series in Pure and Applied Mathematics","Vesta Co. Ser. Pure Appl. Math."
"Vestnik Belorusskogo Gosudarstvennogo Universiteta","Vestn. Beloruss. Gos. Univ. Ser. 1 Fiz. Mat. Inform."
"Vestnik Ministerstva Nauki--Akademiya Nauk Respubliki Kazakhstan","Vestn. Minister. Nauki Akad. Nauk Resp. Kaz."
"Vestnik Mordovskogo Universiteta","Vestn. Mord. Univ."
"Akademiya Nauk Respubliki Kazakhstan","Vestnik Akad. Nauk Respub. Kazakhstan"
"Chelyabinskiy Universitet","Vestnik Chelyabinsk. Univ. Ser. 3 Mat. Mekh."
"Khar\cprime kovskiy Universitet","Vestnik Khar\cprime kov. Univ."
"Kievskiy Universitet","Vestnik Kiev. Univ. Model. Optim. Slozhn. Sist."
"Vestnik L\cprime vovskogo Politekhnicheskogo Instituta","Vestnik L\cprime vov. Politekhn. Inst."
"Vestnik Moskovskogo Universiteta","Vestnik Moskov. Univ. Ser. I Mat. Mekh."
"Vestnik Moskovskogo Universiteta","Vestnik Moskov. Univ. Ser. III Fiz. Astronom."
"Vestnik Moskovskogo Universiteta","Vestnik Moskov. Univ. Ser. XV Vychisl. Mat. Kibernet."
"Rossíiskaya Akademiya Nauk","Vestnik Ross. Akad. Nauk"
"Vestnik Sankt-Peterburgskogo Universiteta","Vestnik S.-Peterburg. Univ. Fiz. Khim."
"Vestnik Sankt-Peterburgskogo Universiteta","Vestnik S.-Peterburg. Univ. Mat. Mekh. Astronom."
"Vestnik St","Vestnik St. Petersburg Univ. Math."
"Vietnam Journal of Mathematics","Vietnam J. Math."
"Vieweg Mathematik","Vieweg Math."
"Vieweg Studium: Aufbaukurs Mathematik","Vieweg Stud. Aufbaukurs Math."
"Vieweg Studium: Grundkurs Mathematik","Vieweg Stud. Grundkurs Math."
"Vieweg Textbook Mathematics","Vieweg Textbook Math."
"Vijnana Parishad Anusandhan Patrika","Vijnana Parishad Anusandhan Patrika"
"The Vikram Mathematical Journal","Vikram Math. J."
"The Virtual Laboratory","Virtual Lab."
"Vishwa International Journal of Graph Theory","Vishwa Int. J. Graph Theory"
"Vistas in Astronomy","Vistas Astronom."
"Vita Mathematica","Vita Math."
"Vivarium","Vivarium"
"Volúmenes de Homenaje","Vol. Homenaje"
"Rizhskiy Politekhnicheskiy Institut","Voprosy Dinamiki i Prochnosti"
"Rossíiskaya Akademiya Nauk","Voprosy Istor. Estestvoznan. i Tekhn."
"\cyr Voprosy Mekhaniki i Protsessov Upravleniya","Voprosy Mekh. Protsess. Upravl."
"Leningradskiy Universitet","Voprosy Teor. Sistem Avtomat. Upravleniya"
"Akademiya Nauk Respubliki Uzbekistan","Voprosy Vychisl. i Prikl. Mat."
"Vorlesungen aus dem Fachbereich Mathematik der Universität GH Essen","Vorlesungen Fachbereich Math. Univ. Essen"
"Vorträge","Vortr. Nordrh.-Westfäl. Akad. Wiss."
"Nordrhein-Westfälische Akademie der Wissenschaften","Vorträge Nordrhein-Westfälische Akad. Wiss."
"Vychislitel\cprime naya i Prikladnaya Matematika","Vychisl. Prikl. Mat. (Kiev)"
"Rossíiskaya Akademiya Nauk","Vychisl. Sistemy"
"Vychislitel\cprime naya Tekhnika","Vychisl. Tekhn. Sistemy Upravlenie"
"Vychislitel\cprime naya Tekhnika i Voprosy Kibernetiki","Vychisl. Tekhn. Vopr. Kibern."
"Leningradskiy Gosudarstvennyy Universitet","Vychisl. Tekhn. Voprosy Kibernet."
"Water Science and Technology Library","Water Sci. Technol. Libr."
"Wave Motion","Wave Motion"
"Wavelet Analysis and its Applications","Wavelet Anal. Appl."
"Waves in Random Media","Waves Random Media"
"Roczniki Polskiego Towarzystwa Matematycznego","Wiadom. Mat."
"Wiener Arbeiten zur Philosophie","Wien. Arb. Philos. Reihe A Univ.stud."
"Wiley Classics Library","Wiley Classics Lib."
"Wiley Professional Paperback Series","Wiley Prof. Paperb. Ser."
"Wiley Series in Beam Physics and Accelerator Technology","Wiley Ser. Beam Phys. Accel. Tech."
"Wiley Series in Mathematical Methods in Practice","Wiley Ser. Math. Methods Pract."
"Wiley Series in Nonlinear Science","Wiley Ser. Nonlinear Sci."
"Wiley Series on Parallel and Distributed Computing","Wiley Ser. Parallel Distrib. Comput."
"Wiley Series in Probability and Mathematical Statistics","Wiley Ser. Probab. Math. Statist."
"Wiley Series in Probability and Statistics: Texts and References Section","Wiley Ser. Probab. Stat. Texts Ref. Sect."
"Wiley Series in Probability and Statistics: Probability and Statistics","Wiley Ser. Probab. Statist. Probab. Statist."
"Wiley Series in Systems Engineering","Wiley Ser. Syst. Eng."
"A Wiley-Interscience Publication","Wiley-Intersci. Publ."
"Wiley-Interscience Series in Discrete Mathematics and Optimization","Wiley-Intersci. Ser. Discrete Math. Optim."
"Wiley-Interscience Series in Systems and Optimization","Wiley-Intersci. Ser. Systems Optim."
"Wiley-Teubner Computing","Wiley-Teubner Comput."
"Wiley-Teubner Series Advances in Numerical Mathematics","Wiley-Teubner Ser. Adv. Numer. Math."
"Wissenschaft im 20","Wiss. 20 Jhd. Transdiszip. Reflex."
"Wissenschaftliche Schriftenreihe Mathematik","Wiss. Schriftenr. Math."
"Wissenschaftliche Zeitschrift der Technischen Universität Dresden","Wiss. Z. Tech. Univ. Dresden"
"Wissenschaftsgeschichte","Wissenschaftsgeschichte"
"Workshops in Computing","Workshops Comput."
"World Scientific Lecture Notes in Physics","World Sci. Lecture Notes Phys."
"World Scientific Series in 20th Century Mathematics","World Sci. Ser. 20th Century Math."
"World Scientific Series in 20th Century Physics","World Sci. Ser. 20th Century Phys."
"World Scientific Series in Applicable Analysis","World Sci. Ser. Appl. Anal."
"World Scientific Series on Nonlinear Science","World Sci. Ser. Nonlinear Sci. Ser. A Monogr. Treatises"
"World Scientific Series on Nonlinear Science","World Sci. Ser. Nonlinear Sci. Ser. B Spec. Theme Issues Proc."
"World Scientific Series in Robotics and Intelligent Systems","World Sci. Ser. Robot. Intell. Systems"
"Wuhan University","Wuhan Univ. J. Nat. Sci."
"Xi'an Jiaotong Daxue Xuebao","Xi'an Jiaotong Daxue Xuebao"
"Xiamen Daxue Xuebao","Xiamen Daxue Xuebao Ziran Kexue Ban"
"Xinan Shifan Daxue Xuebao","Xinan Shifan Daxue Xuebao Ziran Kexue Ban"
"Yenisei Series in Pure and Applied Mathematics","Yenisei Ser. Pure Appl. Math."
"Yokohama Mathematical Journal","Yokohama Math. J."
"Yugoslav Journal of Operations Research","Yugosl. J. Oper. Res."
"Zeitschrift für Analysis und ihre Anwendungen","Z. Anal. Anwendungen"
"Zeitschrift für Angewandte Mathematik und Mechanik","Z. Angew. Math. Mech."
"Zeitschrift für Angewandte Mathematik und Physik","Z. Angew. Math. Phys."
"ZFW---Zeitschrift für Flugwissenschaften und Weltraumforschung","Z. Flugwiss. Weltraumforsch."
"Zeitschrift für Geschichte der Arabisch-Islamischen Wissenschaften","Z. Gesch. Arab.-Islam. Wiss."
"Zeitschrift für Kristallographie","Z. Krist."
"Zeitschrift für Physik","Z. Phys. C"
"ZAMM","ZAMM Z. Angew. Math. Mech."
"Rossíiskaya Akademiya Nauk","Zap. Nauchn. Sem. S.-Peterburg. Otdel. Mat. Inst. Steklov. (POMI)"
"Zbornik Radova","Zb. Rad. (Beogr.)"
"Univerzitet u Kragujevcu","Zb. Rad. (Kragujevac)"
"Zbornik Radova","Zb. Rad. (Varaždin)"
"Zentralblatt für Mathematik und ihre Grenzgebiete","Zbl"
"Zeszyty Naukowe Geometria","Zeszyty Nauk. Geom."
"Zeszyty Naukowe Politechniki Rzeszowskiej","Zeszyty Nauk. Politech. Rzeszowskiej Mat."
"Zeszyty Naukowe Wyższa Szkoła Pedagogiczna im. Powstańców Śl\polhk askich w Opolu. Matematyka","Zeszyty Nauk. Wyż. Szkoły Ped. Powstańców Śl. Opolu Mat."
"Zhurnal Vychislitel\cprime noy Matematiki i Matematicheskoy Fiziki","Zh. Vychisl. Mat. Mat. Fiz."
"Zhangzhou Shiyuan Xuebao (Ziran Kexue Ban)","Zhangzhou Shiyuan Xuebao (Ziran Kexue Ban)"
"Zhejiang Daxue Xuebao","Zhejiang Daxue Xuebao Ziran Kexue Ban"
"\cyr Zhivoy Yazyk","Zhivoy Yazyk"
"de Gruyter Expositions in Mathematics","de Gruyter Exp. Math."
"de Gruyter Series in Nonlinear Analysis and Applications","de Gruyter Ser. Nonlinear Anal. Appl."
