"""Brevia""","Brevia (Rome)"
"State nursing legislation quarterly","State Nurs Legis Q"
"State reproductive health monitor : legislative proposals and actions / prepared by the Alan Guttmacher Institute","State Reprod Health Monit"
"Stateco","Stateco"
"States of health","States Health"
"Statistica","Statistica"
"Statistica Neerlandica","Stat Neerl"
"Statistical Notes Of Japan","Stat Notes Jpn"
"Statistical Reporter / Office Of Federal Statistical Policy And Standards","Stat Report"
"Statistical applications in genetics and molecular biology","Stat Appl Genet Mol Biol"
"Statistical bulletin (Metropolitan Life Foundation)","Stat Bull Metrop Life Found"
"Statistical bulletin (Metropolitan Life Insurance Company : 1984)","Stat Bull Metrop Insur Co"
"Statistical bulletin (Metropolitan Life Insurance Company)","Stat Bull Metropol Life Insur Co"
"Statistical journal of the United Nations Economic Commission for Europe","Stat J UN Econ Comm Eur"
"Statistical methods in medical research","Stat Methods Med Res"
"Statistical news. Poland. Glowny Urzad Statystyczny","Stat News Pol"
"Statistical notes for health planners","Stat Notes Health Plann"
"Statistical science : a review journal of the Institute of Mathematical Statistics","Stat Sci"
"Statistics in medicine","Stat Med"
"Statistics of Navy medicine","Stat Navy Med"
"Statistiques & etudes: Midi-Pyrenees","Stat Etud Midi Pyren"
"Statistiques demographiques. Institut national de statistique (Belgium)","State Demogr"
"Statistisk tidskrift. Statistical review. Sweden. Statistiska centralbyran","Stat Tidskr"
"Statistiska meddelanden. Serie Be","Statist Medd Ser Be Befolk Val"
"Statistiske efterretninger. Befolkning og valg / Danmarks statistik","Statist Efterret"
"Statisztikai szemle : a Magyar Kozponti Statisztikai Hivatal folyoirata","Stat Szle"
"Statutes of California and digests of measures / compiled by Bion M. Gregory, legislative counsel. California","Statut Calif Dig Meas Calif"
"Stem cell reviews","Stem Cell Rev"
"Stem cells","Stem Cells"
"Stem cells (Dayton, Ohio)","Stem Cells"
"Stem cells and development","Stem Cells Dev"
"Stereotactic and functional neurosurgery","Stereotact Funct Neurosurg"
"Sterile world","Sterile World"
"Sterkiana","Sterkiana"
"Sterne und Weltraum","Sterne Weltraum"
"Steroidologia","Steroidologia"
"Steroids","Steroids"
"Steroids and lipids research","Steroids Lipids Res"
"Stetson law review","Stetson Law Rev"
"Stewart William's Glamorgan historian","Glamorgan Hist"
"Stimmen der Zeit","Stimmen Zeit"
"Stoma","Stoma (Heidelb)"
"Stoma (Lisbon, Portugal)","Stoma (Lisb)"
"Stoma (Thessalonike, Greece)","Stoma (Thessaloniki)"
"Stomatologia","Stomatologia (Bucur)"
"Stomatologia mediterranea : SM","Stomatol Mediterr"
"Stomatologica","Stomatologica (Genova)"
"Stomatologicke zpravy / SPOFA","Stomatol Zpr"
"Stomatologicky vestnik","Stomatol Vestn"
"Stomatologie (Bucharest, Romania)","Stomatologie"
"Stomatologie der DDR","Stomatol DDR"
"Stomatologiia","Stomatologiia (Mosk)"
"Stomatologiia. Stomatology","Stomatologiia (Sofiia)"
"Stomatologija / issued by public institution ""Odontologijos studija"" ... [et al.]","Stomatologija"
"Stomatologika chronika. Acta stomatologica Hellenica","Stomatol Chron (Athenai)"
"Stomatoloski glasnik Srbije","Stomatol Glas Srb"
"Stomatoloski vjesnik. Stomatological review","Stomatol Vjesn"
"Storia contemporanea","Stor Contemp"
"Storia e critica della psicologia","Stor Crit Psicol"
"Storia e medicina popolare","Stor Med Pop"
"Storia in Lombardia","Stor Lomb"
"Storia urbana","Stor Urbana"
"Strabismus","Strabismus"
"Strada maestra; quaderni della Biblioteca comunale ""G. C. Croce"" di San Giovanni in Persiceto","Strada Maestra"
"Strahlenschutz in Forschung und Praxis","Strahlenschutz Forsch Prax"
"Strahlentherapie","Strahlentherapie"
"Strahlentherapie und Onkologie : Organ der Deutschen Rontgengesellschaft ... [et al]","Strahlenther Onkol"
"Strahlentherapie. Sonderbande","Strahlentherapie [Sonderb]"
"Strasbourg medical","Strasb Med"
"Strategies for healthcare excellence : organizational productivity, quality and effectiveness","Strateg Healthc Excell"
"Strategy & tactics (Cambria, Calif.)","Strategy Tactics"
"Strenna storica bolognese","Strenna Stor Bolognese"
"Stress (Amsterdam, Netherlands)","Stress"
"Stress medicine","Stress Med"
"Stroke; a journal of cerebral circulation","Stroke"
"Structure (London, England : 1993)","Structure"
"Stud. med","Studenterraad Med"
"Student lawyer (Chicago, Ill. : 1972)","Stud Lawyer"
"Student medicine","Stud Med"
"Studi classici e orientali","Stud Cl Orient"
"Studi di demografia","Stud Demogr"
"Studi di filologia italiana : bulletino dell' Accademia della Crusca","Studi Filol Ital"
"Studi di sociologia","Studi Sociol"
"Studi emigrazione","Stud Emigrazione"
"Studi emigrazione. Etudes migrations","Studi Emigr"
"Studi francesi","Studi Fr"
"Studi italiani di filologia classica","Studi Ital Filol Cl"
"Studi sassaresi","Studi Sassar"
"Studi storici","Stud Stor"
"Studi veneziani","Studi Veneziani"
"Studia (Lisbon, Portugal)","Studia"
"Studia Cartesiana","Stud Cartesiana"
"Studia Comeniana et historica","Stud Comeniana Hist"
"Studia Leibnitiana","Stud Leibnitiana"
"Studia Rosenthaliana","Stud Rosenthaliana"
"Studia demograficzne","Studia Demogr"
"Studia filozoficzne","Stud Filoz"
"Studia geographica","Stud Geogr"
"Studia historica Gandensia","Stud Hist Gandensia"
"Studia i materialy z dziejow nauki polskiej","Stud Mater Dziejow Nauk Pol"
"Studia i materialy z dziejow nauki polskiej. Seria B: Historia nauk biologicznych i medycznych","Stud Mater Dziej Nauk Pol Ser B"
"Studia islamica","Stud Islam"
"Studia neophilologica","Stud Neophilol"
"Studia papyrologica","Stud Papyrol"
"Studia psychologica","Stud Psychol (Bratisl)"
"Studien und Mitteilungen zur Geschichte des Benediktiner-Ordens und seiner Zweige","Stud Mitt Gesch Benediktinerorden"
"Studien zur Geschichte des Krankenhauswesens","Stud Gesch Krankenhauswesens"
"Studies","Studies"
"Studies - Hastings Center","Stud Hastings Cent"
"Studies from the Tokugawa Institute. Tokugawa Seibutsugaku Kenkyusho, Tokyo","Stud Tokugawa Inst"
"Studies in Burke and his time","Stud Burke Time"
"Studies in Christian ethics","Stud Christ Ethics"
"Studies in English literature","Stud Engl Lit"
"Studies in European thought","Stud Eur Thought"
"Studies in Scottish literature","Stud Scott Lit"
"Studies in Soviet thought","Stud Sov Thought"
"Studies in ancient medicine","Stud Anc Med"
"Studies in bibliography","Stud Bibliogr"
"Studies in church history (Chicago, Ill.)","Stud Chur Hist"
"Studies in comparative international development","Stud Comp Int Dev"
"Studies in eighteenth-century culture","Stud Eighteenth Cent Cult"
"Studies in family planning","Stud Fam Plann"
"Studies in health technology and informatics","Stud Health Technol Inform"
"Studies in history","Stud Hist"
"Studies in history and philosophy of biological and biomedical sciences","Stud Hist Philos Biol Biomed Sci"
"Studies in history and philosophy of science","Stud Hist Philos Sci"
"Studies in history of biology","Stud Hist Biol"
"Studies in history of medicine","Stud Hist Med"
"Studies in history of medicine and science","Stud Hist Med Sci"
"Studies in human ecology","Stud Hum Ecol"
"Studies in labour history","Stud Labour Hist"
"Studies in medieval culture","Stud Mediev Cult"
"Studies in mycology","Stud Mycol"
"Studies in neuro-anatomy","Stud Neuroanat"
"Studies in philology","Stud Philol"
"Studies in philosophy of medicine","Stud Philos Med"
"Studies in profertility series","Stud Profertility Ser"
"Studies in religion. Sciences religieuses","Stud Relig"
"Studies in romanticism","Stud Romanticism"
"Studies in surface science and catalysis","Stud Surf Sci Catal"
"Studies in the American renaissance","Stud Am Renaiss"
"Studies in the Renaissance","Stud Renaissance"
"Studies in the social sciences (West Georgia College)","Stud Soc Sci West Ga Coll"
"Studies in third world societies","Stud Third World Soc"
"Studies on Russian economic development","Stud Russ Econ Dev"
"Studies on Voltaire and the eighteenth century / edited by Theodore Besterman","Stud Voltaire 18th Century"
"Studies on medical and population subjects","Stud Med Popul Subj"
"Studii clasice","Stud Cl"
"Studii si cercetari de endocrinologie","Stud Cercet Endocrinol"
"Studii si cercetari de fiziologie","Stud Cercet Fiziol"
"Studii si cercetari de inframicrobiologie","Stud Cercet Inframicrobiol"
"Studii si cercetari de medicina interna","Stud Cercet Med Interna"
"Studii si cercetari de neurologie","Stud Cercet Neurol"
"Studii si cercetari de virusologie","Stud Cercet Virusol"
"Studime historike","Studime Hist"
"Studium","Studium"
"Studium generale; Zeitschrift fur die Einheit der Wissenschaften im Zusammenhang ihrer Begriffsbildungen und Forschungsmethoden","Stud Gen (Berl)"
"Study encounter","Study Encounter"
"Study sessions - Canadian Catholic Historical Association. Canadian Catholic Historical Association","Study Sess Can Cathol Hist Assoc"
"Sub-cellular biochemistry","Subcell Biochem"
"Subacute care","Subacute Care"
"Subsidia medica","Subsid Med"
"Substance abuse : official publication of the Association for Medical Education and Research in Substance Abuse","Subst Abus"
"Substance abuse treatment, prevention, and policy","Subst Abuse Treat Prev Policy"
"Substance and alcohol actions/misuse","Subst Alcohol Actions Misuse"
"Substance use & misuse","Subst Use Misuse"
"Suchasnist'","Sucasnist"
"Sudan journal of population studies","Sudan J Popul Stud"
"Sudan medical journal","Sudan Med J"
"Sudan notes and records","Sudan Notes Rec"
"Suddeutsche Optikerzeitung","Suddtsch Optikerztg"
"Sudebno-meditsinskaia ekspertiza","Sud Med Ekspert"
"Sudhoffs Archiv","Sudhoffs Arch"
"Sudhoffs Archiv fur Geschichte der Medizin und der Naturwissenschaften","Sudhoffs Arch Gesch Med Naturwiss"
"Sudhoffs Archiv; Zeitschrift fur Wissenschaftsgeschichte. Beihefte","Sudhoffs Arch Z Wissenschaftsgesch Beih"
"Sudost Europa : [Monatsschrift der Abteilung Gegenwartsforschung des Sudost-Instituts]","Sudosteuropa"
"Suffield technical note. Canada. Suffield Experimental Station, Ralston, Alta","Suffield Tech Note Can Suffield Exp Stn Ralston Alta"
"Suffield technical paper. Canada. Suffield Experimental Station, Ralston, Alta","Suffield Tech Pap Can Suffield Exp Stn Ralston Alta"
"Suffolk University law review","Suffolk Univ Law Rev"
"Suffolk transnational law review","Suffolk Transnatl Law R"
"Suicide","Suicide"
"Suicide & life-threatening behavior","Suicide Life Threat Behav"
"Sun (Baltimore, Md. : 1837)","Sun"
"Sunday times (London, England : 1931)","Sunday Times"
"Suomalainen Tiedeakatemia toimituksia. Sar. A.4: Biologica","Ann Acad Sci Fenn [Biol]"
"Suomalaisen Tiedeakatemian toimituksia. Sar. A.5, Medica-anthropologica","Suom Tiedeakat Toim A5 Medica Anthropol"
"Suomen Hammaslaakariseuran Toimituksia","Suom Hammaslaak Toim"
"Suomen apteekkarilehti. Finlands apotekartidning","Suom Apteenkkaril"
"Suomen laakarilehti. Finlands lakartidning","Suom Laakaril"
"Supervisor nurse","Superv Nurse"
"Supervisory management","Superv Manage"
"Supplement ... to the European journal of neuroscience","Suppl Eur J Neurosci"
"Supplement ... to the Public health reports","Suppl Public Health Rep"
"Supplement ... to the journal Medical oncology and tumor pharmacotherapy","Suppl J Med Oncol Tumor Pharmacother"
"Supplement to International journal of gynecology and obstetrics","Suppl Int J Gynecol Obstet"
"Supplements to Clinical neurophysiology","Suppl Clin Neurophysiol"
"Supplementum ... ad Thrombosis and haemostasis","Suppl Thromb Haemost"
"Supportive care in cancer : official journal of the Multinational Association of Supportive Care in Cancer","Support Care Cancer"
"Surgery","Surgery"
"Surgery annual","Surg Annu"
"Surgery for obesity and related diseases : official journal of the American Society for Bariatric Surgery","Surg Obes Relat Dis"
"Surgery today","Surg Today"
"Surgery, gynecology & obstetrics","Surg Gynecol Obstet"
"Surgical and radiologic anatomy : SRA","Surg Radiol Anat"
"Surgical business","Surg Bus"
"Surgical endoscopy","Surg Endosc"
"Surgical forum","Surg Forum"
"Surgical gastroenterology","Surg Gastroenterol"
"Surgical infections","Surg Infect (Larchmt)"
"Surgical innovation","Surg Innov"
"Surgical laparoscopy & endoscopy","Surg Laparosc Endosc"
"Surgical laparoscopy, endoscopy & percutaneous techniques","Surg Laparosc Endosc Percutan Tech"
"Surgical neurology","Surg Neurol"
"Surgical oncology","Surg Oncol"
"Surgical oncology clinics of North America","Surg Oncol Clin N Am"
"Surgical rounds","Surg Rounds"
"Surgical technology international","Surg Technol Int"
"Surveillance & society","Surveill Soc"
"Survey (London, England : 1961)","Survey (Lond)"
"Survey and synthesis of pathology research","Surv Synth Pathol Res"
"Survey methodology","Surv Methodol"
"Survey of biological progress","Surv Biol Prog"
"Survey of immunologic research","Surv Immunol Res"
"Survey of ophthalmology","Surv Ophthalmol"
"Survival","Survival (Lond)"
"Survival news (Atlanta, Ga.)","Surviv News (Atlanta Ga)"
"SusPop news : the Sustainable Population Society newsletter","SusPop News"
"Suvremenna meditsina","Suvr Med (Sofiia)"
"Sveikatos apsauga","Sveikatos Apsauga"
"Svensk farmaceutisk tidskrift","Sven Farm Tidskr"
"Svensk geografisk arsbok","Sven Geogr Arsb"
"Svensk juristtidning","Sven Juristtidn"
"Svensk medicinhistorisk tidskrift","Sven Med Tidskr"
"Svensk tandlakare tidskrift. Swedish dental journal","Sven Tandlak Tidskr"
"Svensk tidskrift (Uppsala, Sweden)","Sven Tidskr"
"Svenska lakartidningen","Sven Lakartidn"
"Swasth hind","Swasth Hind"
"Swedish dental journal","Swed Dent J"
"Swedish dental journal. Supplement","Swed Dent J Suppl"
"Swiss biotech","Swiss Biotech"
"Swiss dent","Swiss Dent"
"Swiss medical weekly : official journal of the Swiss Society of Infectious Diseases, the Swiss Society of Internal Medicine, the Swiss Society of Pneumology","Swiss Med Wkly"
"Swiss surgery. Supplement","Swiss Surg Suppl"
"Sydney University medical journal","Sydn Univ Med J"
"Sydsvenska medicinhistoriska sallskapets arsskrift","Sydsven Medicinhist Sallsk Arsskr"
"Sydsvenska medicinhistoriska sallskapets arsskrift. Supplementum","Sydsven Medicinhist Sallsk Arsskr Suppl"
"Syesis","Syesis"
"Sygeplejersken","Sygeplejersken"
"Sykepleien","Sykepleien"
"Sykepleien. Fag","Sykepl Fag"
"Symbiosis","Symbiosis"
"Symbolae Osloenses / auspiciis Societatis Graeco-Latinae","Symb Oslo"
"Symposia of the Society for Experimental Biology","Symp Soc Exp Biol"
"Symposia of the Swedish Nutrition Foundation","Symp Swed Nutr Found"
"Symposium Of The Pharmacology, Therapeutics And Toxicology Group, International Association For Dental Research","Symp Pharmacol Ther Toxicol Group"
"Symposium on Fundamental Cancer Research","Symp Fundam Cancer Res"
"Symposium on Oral Sensation and Perception","Symp Oral Sens Percept"
"Symposium series (Society for Applied Microbiology)","Symp Ser Soc Appl Microbiol"
"Synapse (New York, N.Y.)","Synapse"
"Synlett : accounts and rapid communications in synthetic organic chemistry","Synlett"
"Syntax (Oxford, England)","Syntax"
"Synthese","Synthese"
"Synthesis","Synthesis (Stuttg)"
"Synthesis philosophica","Synth Philos"
"Synthetic communications","Synth Commun"
"Syracuse law review","Syracuse Law Rev"
"Systematic and applied microbiology","Syst Appl Microbiol"
"Systematic biology","Syst Biol"
"Systematic entomology","Syst Entomol"
"Systematic parasitology","Syst Parasitol"
"Systematic zoology","Syst Zool"
"Systems & control letters","Syst Control Lett"
"Systems biology","Syst Biol (Stevenage)"
"Systems research : the official journal of the International Federation for Systems Research","Syst Res"
"Szazadok","Szazadok"
"Szczecinskie Towarzystwo Naukowe, Wydzial Nauk Lekarskich","Szczecin Tow Nauk Wydz Nauk Lek"
"Szemeszet","Szemeszet"
"T'ung pao. T'oung pao","Toung Pao"
"T.-I.-T. journal of life sciences","TIT J Life Sci"
"TAG. Theoretical and applied genetics. Theoretische und angewandte Genetik","Theor Appl Genet"
"TB & HIV","TB HIV"
"TDR news","TDR News"
"TEC bulletin (Online)","TEC Bull (Online)"
"TID [reports]. U.S. Atomic Energy Commission","TID Rep"
"TMJ update","TMJ Update"
"TSitologiia i genetika","Tsitol Genet"
"TVZ : het vakblad voor de verpleging","TVZ"
"T[echnical report]. Brookhaven National Laboratory","Tech Rep Brookhaven Natl Lab"
"Tablet (Brooklyn, New York, N.Y.)","Tablet"
"Taehan Ch'ikkwa Uisa Hyophoe chi","Taehan Chikkwa Uisa Hyophoe Chi"
"Taehan Imsang Misaengmul Hakhoe chi","Korean journal of clinical microbiology|Taehan Imsang Misaengmul Hakhoe Chi"
"Taehan Imsang Pyongni Hakhoe chi","Korean journal of clinical pathology|Korean J. Clin. Pathol."
"Taehan Kanho Hakhoe chi","Taehan Kanho Hakhoe Chi"
"Taehan Misaengmul Hakhoe chi","The journal of the Korean Society for Microbiology|Taehan Misaengmul Hakhoe Chi"
"Taehan Uihak Hyophoe chi. The Journal of the Korean Medical Association","Taehan Uihak Hyophoe Chi"
"Taehan kanho. The Korean nurse","Taehan Kanho"
"Taiwan nong ye hua xue yu shi pin ke xue","Taiwanese journal of agricultural chemistry and food science|Taiwan Nong Ye Hua Xue Yu Shi Pin Ke Xue"
"Taiwan yi xue hui za zhi. Journal of the Formosan Medical Association","Taiwan Yi Xue Hui Za Zhi"
"Taiwanese journal of obstetrics & gynecology","Taiwan J Obstet Gynecol"
"Talanta","Talanta"
"Tampa Bay history","Tampa Bay Hist"
"Tandlaegebladet","Tandlaegebladet"
"Tandlaegernes nye tidsskrift","Tandlaegernes Tidsskr"
"Tandlakartidningen","Tandlakartidningen"
"Tandteknikern","Tandteknikern"
"Tanisal ve girisimsel radyoloji : Tibbi Goruntuleme ve Girisimsel Radyoloji Dernegi yayin organi","Tani Girisim Radyol"
"Tanpakushitsu kakusan koso. Protein, nucleic acid, enzyme","Tanpakushitsu Kakusan Koso"
"Tanzania health research bulletin","Tanzan Health Res Bull"
"Tanzania notes and records","Tanzan Notes Rec"
"Tar heel nurse","Tar Heel Nurse"
"Targeted diagnosis and therapy","Targeted Diagn Ther"
"Taxon","Taxon"
"TeLinde's operative gynecology updates","TeLindes Oper Gynecol Updates"
"Teach-in : the journal for junior hospital doctors and senior medical students","Teach In"
"Teachers College record","Teach Coll Rec"
"Teaching Sociology","Teach Sociol"
"Teaching and learning in medicine","Teach Learn Med"
"Teaching notes on population","Teach Notes Popul"
"Teaching of psychology (Columbia, Mo.)","Teach Psychol"
"Teaching philosophy","Teach Philos"
"Teaching political science","Teach Polit Sci"
"Technical bulletin of the Registry of Medical Technologists","Tech Bull Regist Med Technol"
"Technical bulletin. United States. Veterans Administration","Tech Bull United States Veterans Admin"
"Technical documentary report, ARL-TDR. United States. Aeromedical Research Laboratory, Holloman Air Force Base, N. M","Tech Doc Rep ARL TDR"
"Technical documentary report. SAM-TDR. USAF School of Aerospace Medicine","Tech Doc Rep SAMTDR USAF Sch Aerosp Med"
"Technical documentary report. United States. Air Force. Systems Command. Electronic Systems Division","Tech Doc Rep U S Air Force Syst Command Electron Syst Div"
"Technical documentary report; AAL-TDR. Arctic Aeromedical Laboratory (U.S.)","Tech Doc Rep Arct Aeromed Lab US"
"Technical manual. U.S. Army Biological Laboratories","Tech Man US Army Biol Lab"
"Technical manuscript. U.S. Army Biological Laboratories","Tech Manuscr US Army Biol Lab"
"Technical note. United States. National Aeronautics and Space Administration","Tech Note U S Natl Aeronaut Space Adm"
"Technical note; TN. Arctic Aeromedical Laboratory (U.S.)","Tech Note Arct Aeromed Lab (US)"
"Technical report. CRDLR. U.S. Army Chemical Research and Development Laboratories","Tech Rep CRDLR US Army Chem Res Dev Lab"
"Technical report. CWLR. U.S. Army Chemical Warfare Laboratories","Tech Rep CWLR US Army Chem Warf Lab"
"Technical report. New York Naval Shipyard. Material Laboratory","Tech Rep NY Nav Shipyard Mater Lab"
"Technical report.; TR. Arctic Aeromedical Laboratory (U.S.)","Tech Rep Arct Aeromed Lab US"
"Technical report: NAVTRADEVCEN. Naval Training Device Center","Tech Rep NAVTRADEVCEN"
"Technik Geschichte","Technikgeschichte"
"Technikgeschichte in Einzeldarstellungen","Technikgesch Einzeldarst"
"Techniques hospitalieres, medico-sociales et sanitaires","Tech Hosp Med Soc Sanit"
"Techniques in coloproctology","Tech Coloproctol"
"Techniques in hand & upper extremity surgery","Tech Hand Up Extrem Surg"
"Techniques in urology","Tech Urol"
"Techniques in vascular and interventional radiology","Tech Vasc Interv Radiol"
"Techniques orthopediques","Tech Orthop"
"Technologia","Technologia"
"Technological forecasting and social change","Technol Forecast Soc Change"
"Technology (Elmsford, N.Y.)","Technology"
"Technology Evaluation Center Assessment Program. Executive summary","Technol Eval Cent Asses Program Exec Summ"
"Technology and culture","Technol Cult"
"Technology and health care : official journal of the European Society for Engineering and Medicine","Technol Health Care"
"Technology in cancer research & treatment","Technol Cancer Res Treat"
"Technology in society","Technol Soc"
"Technology review","Technol Rev"
"Tecnologica (Chicago, Ill.)","Tecnologica"
"Tecnologica. MAP supplement. Blue Cross and Blue Shield Association. Medical Advisory Panel","Tecnologica MAP Suppl"
"Tel Aviver Jahrbuch fur deutsche Geschichte / herausgegeben vom Institut fur Deutsche Geschichte","Tel Aviver Jahrb Dtsch Gesch"
"Telecommunications policy","Telecomm Policy"
"Telemedicine and telehealth networks : newsmagazine of distance healthcare","Telemed Telehealth Netw"
"Telemedicine and virtual reality","Telemed Virtual Real"
"Telemedicine journal : the official journal of the American Telemedicine Association","Telemed J"
"Telemedicine journal and e-health : the official journal of the American Telemedicine Association","Telemed J E Health"
"Telemedicine today","Telemed Today"
"Tellus. Series B, Chemical and physical meteorology","Tellus B Chem Phys Meteorol"
"Temas de poblacion","Temas Poblac"
"Temas odontologicos","Temas Odontol"
"Temple dental review","Temple Dent Rev"
"Temple international and comparative law journal","Temple Int Comp Law J"
"Temple law quarterly (Philadelphia, Pa. : 1946)","Temple Law Q"
"Temple law review","Temple Law Rev"
"Tennessee Folklore Society bulletin","Tenn Folk Soc Bull"
"Tennessee code annotated / prepared under the supervision of the Tennessee Code Commission. Tennessee","Tenn Code Annot Tenn"
"Tennessee historical quarterly","Tenn Hist Q"
"Tennessee law review","Tenn Law Rev"
"Tennessee medicine : journal of the Tennessee Medical Association","Tenn Med"
"Tennessee nurse / Tennessee Nurses Association","Tenn Nurse"
"Tennessee public welfare record","Tenn Publ Welfare Rec"
"Tennessee studies in literature","Tenn Stud Lit"
"Teorie a praxe telesne vychovy a sportu","Teor Prax Teles Vychovy"
"Teoriia i praktika fizicheskoi kul'tury","Teor Prak Fiz Kult"
"Tequesta","Tequesta"
"Terapevticheskii arkhiv","Ter Arkh"
"Terapia","Terapia"
"Teratogenesis, carcinogenesis, and mutagenesis","Teratog Carcinog Mutagen"
"Teratology","Teratology"
"Terra (Helsinki, Finland)","Terra"
"Terrae incognitae","Terr Incogn"
"Terramycine informations","Terramycine Inf"
"Terrorism","Terrorism"
"Tetrahedron","Tetrahedron"
"Tetrahedron letters","Tetrahedron Lett"
"Tetrahedron, asymmetry","Tetrahedron Asymmetry"
"Texana","Texana"
"Texas Dental Assistants Association bulletin","Tex Dent Assist Assoc Bull"
"Texas Heart Institute journal / from the Texas Heart Institute of St. Luke's Episcopal Hospital, Texas Children's Hospital","Tex Heart Inst J"
"Texas Tech law review","Tex Tech Law Rev"
"Texas bar journal","Texas Bar J"
"Texas dental journal","Tex Dent J"
"Texas hospitals","Tex Hosp"
"Texas international law journal","Tex Int Law J"
"Texas journal of pharmacy","Tex J Pharm"
"Texas journal of women and the law","Tex J Women Law"
"Texas law review","Tex Law Rev"
"Texas medicine","Tex Med"
"Texas monthly (Austin, Tex.)","Tex Mon"
"Texas nursing","Tex Nurs"
"Texas reports on biology and medicine","Tex Rep Biol Med"
"Texas review of law & politics","Tex Rev Law Polit"
"Texas state journal of medicine","Tex State J Med"
"Texas studies in literature and language","Texas Stud Lit Lang"
"Textile rental","Text Rent"
"Textos NEPO","Textos NEPO"
"Textual practice","Textual Pract"
"Thai journal of nursing","Thai J Nurs"
"Thalamus & related systems","Thalamus Relat Syst"
"Thalassia Salentina","Thalassia Salentina"
"The AAPS journal","AAPS J"
"The ABNF journal : official journal of the Association of Black Nursing Faculty in Higher Education, Inc","ABNF J"
"The ACES bulletin. Association for Comparative Economic Studies (U.S.)","ACES Bull"
"The AFL-CIO American federationist. AFL-CIO","AFL CIO Am Fed"
"The AIDS reader","AIDS Read"
"The Academic nurse : the journal of the Columbia University School of Nursing","Acad Nurse"
"The Academy bookman","Acad Bookman"
"The Admitting management journal","Admit Manage J"
"The African journal of medical sciences","Afr J Med Sci"
"The African journal of psychiatry. Le Journal africain de psychiatrie","Afr J Psychiatry"
"The African journal of sexually transmitted diseases","Afr J Sex Transmi Dis"
"The Agricultural history review","Agric Hist Rev"
"The Ahfad journal","Ahfad J"
"The Air Force law review","Air Force Law Rev"
"The Alabama historical quarterly","Ala Hist Q"
"The Alabama journal of medical sciences","Ala J Med Sci"
"The Alabama nurse","Ala Nurse"
"The Alabama review","Ala Rev"
"The Alaska nurse","Alaska Nurse"
"The Albuquerque tribune","Albuq Tribune"
"The Alexandria medical journal","Alexandria Med J"
"The Alkaloids. Chemistry and biology","Alkaloids Chem Biol"
"The Alma mater","Alma Mater (Baltimore)"
"The Alpha omegan","Alpha Omegan"
"The Alumnae magazine","Alumnae Mag"
"The Alumni magazine","Alumni Mag"
"The American Asian review","Am Asian Rev"
"The American Benedictine review","Am Benedictine Rev"
"The American College of Cardiology Extended Learning. Supplement tape","Am Coll Cardiol Extended Learn Suppl Tape"
"The American Jewish year book","Am Jew"
"The American Journal of dermatopathology","Am J Dermatopathol"
"The American Society Legion of Honor magazine","Am Soc Legion Honor Mag"
"The American University journal of gender, social policy & the law","Am Univ J Gend Soc Policy Law"
"The American University journal of international law and policy / Washington College of Law","Am Univ J Int Law Policy"
"The American University law review","Am Univ Law Rev"
"The American archivist","Am Arch"
"The American art journal","Am Art J"
"The American baby","Am Baby"
"The American behavioral scientist","Am Behav Sci"
"The American biology teacher","Am Biol Teach"
"The American criminal law review","Am Crim Law Rev"
"The American ecclesiastical review","Am Eccles Rev"
"The American economic review","Am Econ Rev"
"The American economist","Am Econ"
"The American heart hospital journal","Am Heart Hosp J"
"The American historical review","Am Hist Rev"
"The American imago; a psychoanalytic journal for the arts and sciences","Am Imago"
"The American journal of Chinese medicine","Am J Chin Med"
"The American journal of EEG technology","Am J EEG Technol"
"The American journal of anatomy","Am J Anat"
"The American journal of anesthesiology","Am J Anesthesiol"
"The American journal of bioethics : AJOB","Am J Bioeth"
"The American journal of cancer","Am J Cancer"
"The American journal of cardiology","Am J Cardiol"
"The American journal of cardiovascular pathology","Am J Cardiovasc Pathol"
"The American journal of clinical hypnosis","Am J Clin Hypn"
"The American journal of clinical nutrition","Am J Clin Nutr"
"The American journal of comparative law","Am J Comp Law"
"The American journal of digestive diseases","Am J Dig Dis"
"The American journal of drug and alcohol abuse","Am J Drug Alcohol Abuse"
"The American journal of emergency medicine","Am J Emerg Med"
"The American journal of family therapy","Am J Fam Ther"
"The American journal of forensic medicine and pathology : official publication of the National Association of Medical Examiners","Am J Forensic Med Pathol"
"The American journal of forensic psychiatry","Am J Forensic Psychiatry"
"The American journal of forensic psychology","Am J Forensic Psychol"
"The American journal of gastroenterology","Am J Gastroenterol"
"The American journal of geriatric cardiology","Am J Geriatr Cardiol"
"The American journal of geriatric pharmacotherapy","Am J Geriatr Pharmacother"
"The American journal of geriatric psychiatry : official journal of the American Association for Geriatric Psychiatry","Am J Geriatr Psychiatry"
"The American journal of gynecologic health","Am J Gynecol Health"
"The American journal of hospice & palliative care","Am J Hosp Palliat Care"
"The American journal of hospice care","Am J Hosp Care"
"The American journal of international law","Am J Int Law"
"The American journal of jurisprudence","Am J Jurisprud"
"The American journal of knee surgery","Am J Knee Surg"
"The American journal of legal history","Am J Leg Hist"
"The American journal of managed care","Am J Manag Care"
"The American journal of medical electronics","Am J Med Electron"
"The American journal of medical technology","Am J Med Technol"
"The American journal of medicine","Am J Med"
"The American journal of nursing","Am J Nurs"
"The American journal of obstetrics and diseases of women and children","Am J Obstet Dis Women Child"
