"Archäologischer Anzeiger","AA"
"H. Mattingly – E. A. Sydenham, The Roman Imperial Coinage","RIC"
"Ricerche di egittologia e di antichità copte","RicEgAntCopt"
"Ricognizioni archeologiche","RicognA"
"Ricerche e studi. Museo Francesco Ribezzo, Brindisi","RicStBrindisi"
"Rivista Ingauna e Intemelia","RIngIntem"
"Rivista italiana di numismatica e scienze affini","RItNum"
"Reallexikon der Assyriologie und vorderasiatischen Archäologie","RlA"
"Revue du Louvre. La revue des musées de France","RLouvre"
"Mitteilungen des Deutschen Archäologischen Instituts, Römische Abteilung","RM"
"Revue numismatique","RNum"
"Rocznik Muzeum narodowego w Warszawie","RoczMuzWarsz"
"Römisches Österreich. Jahresschrift der Österreichischen Gesellschaft für Archäologie","RoemOe"
"Römische Quartalschrift für christliche Altertumskunde und Kirchengeschichte","RoemQSchr"
"Romanobarbarica. Contributi allo studio dei rapporti culturali tra il mondo latino e mondo barbarico","Romanobarbarica"
"Romana gens. Bollettino dell’Associazione archeologica romana","RomGens"
"W. H. Roscher, Ausführliches Lexikon der griechischen und römischen Mythologie","RoscherML"
"Rossijskaja archeologija","RossA"
"Roman Provincial Coinage","RPC"
"Revue de philologie, de littérature et d’histoire anciennes","RPhil"
"Revista portuguesa de arqueologia","RPortA"
"Revista da Facultade de letras. Serie de historia. Universidade do Porto","RPorto"
"M. Crawford, Roman Republican Coinage (London 1974)","RRC"
"Revue de la Saintonge et de l’Aunis","RSaintonge"
"Rivista di scienze preistoriche","RScPreist"
"Rivista degli studi orientali","RSO"
"Rivista di studi bizantini e neoellenici","RStBiz"
"Rivista di studi classici","RStCl"
"Rivista di studi fenici","RStFen"
"Rivista di studi liguri","RStLig"
"Rivista di studi marchigiani","RStMarch"
"Rivista storica dell’antichità","RStorAnt"
"Rivista storica calabrese","RStorCal"
"Rivista di studi pompeiani","RStPomp"
"Rivista di studi punici","RStPun"
"Rivista di topografia antica","RTopAnt"
"Rudiae. Ricerche sul mondo classico","Rudiae"
"Saalburg-Jahrbuch. Bericht des Saalburg-Museums","SaalbJb"
"Saarbrücker Beiträge zur Altertumskunde","SaarBeitr"
"Saarbrücker Studien und Materialien zur Altertumskunde","SaarStMat"
"Sacer. Bollettino della Associazione storica saccarese","Sacer"
"Saeculum. Jahrbuch für Universalgeschichte","Saeculum"
"Studien zur Archäologie und Geschichte Altägyptens","SAGA"
"Saggi fenici","SaggiFen"
"Saguntum. Papeles del Laboratorio de arqueología de Valencia","Saguntum"
"Saitabi. Noticiario de historia, arte y arqueología de Levante","Saitabi"
"Studien zur altägyptischen Kultur","SAK"
"Salduie. Estudios de prehistoria y arqueología","Salduie"
"Samothrace. Excavations Conducted by the Institute of Fine Arts of New York University","Samothrace"
"Sandalion. Quaderni di cultura classica, cristiana e medievale","Sandalion"
"Sardis. Publications of the American Society for the Excavation of Sardis","Sardis"
"Sargetia. Acta Musei regionalis Devensis","Sargetia"
"Sarkophag-Studien","SarkSt"
"Sautuola. Revista del Instituto de prehistoria y arqueologia Sautuola","Sautuola"
"Savaria. Bulletin der Museen des Komitats Vas","Savaria"
"Sitzungsberichte der Deutschen Akademie der Wissenschaften zu Berlin. Klasse für Sprache, Literatur und Kunst","SBBerlin"
"Sitzungsberichte der Sächsischen Akademie der Wissenschaften zu Leipzig","SBLeipzig"
"Bayerische Akademie der Wissenschaften. Philosophisch-Historische Klasse. Sitzungsberichte","SBMuenchen"
"Sborník prací Filozofické fakulty Brněnské univerzity. M, Rada archeologická","SborBrno"
"Sitzungsberichte. Österreichische Akademie der Wissenschaften","SBWien"
"Scienze dell’antichità. Storia, archeologia, antropologia","ScAnt"
"The Swedish Cyprus Expedition","SCE"
"Schild von Steier. Beiträge zur Steirischen Vor- und Frühgeschichte und Münzkunde","SchildStei"
"Scholia. Natal Studies in Classical Antiquity","Scholia"
"Schweizer Münzblätter","SchwMueBl"
"Schweizerische numismatische Rundschau","SchwNumRu"
"Scrittura e civiltà","ScrCiv"
"Scripta classica Israelica. Yearbook of the Israel Society for the Promotion of Classical Studies","ScrClIsr"
"Scripta Hierosolymitana. Publications of the Hebrew University, Jerusalem","ScrHieros"
"Scripta mediterranea. Bulletin of the Society for Mediterranean Studies, Toronto","ScrMed"
"Sonderschriften des Deutschen Archäologischen Instituts, Abteilung Kairo","SDAIK"
"Supplementum epigraphicum Graecum","SEG"
"Seminari romani di cultura greca","SeminRom"
"Semitica. Cahiers publiés par l’Institut d’études sémitiques du College de France. Avec le concours du Centre national de la recherche scientifique","Semitica"
"Setúbal arqueológica","SetubalA"
"Sibrium. Collana di studi e documentazioni","Sibrium"
"Sicilia archeologica","SicA"
"Siculorum gymnasium","SicGymn"
"W. Dittenberger, Sylloge inscriptionum Graecarum (Leipzig 1915--­1924)","SIG"
"Sileno. Rivista di studi classici e cristiani","Sileno"
"Silk Road Art and Archaeology. Journal of the Institute of Silk Road Studies, Kamakura","SilkRoadArtA"
"Studies in Mediterranean Archaeology","SIMA"
"Simblos. Scritti di storia antica","Simblos"
"Skyllis. Zeitschrift für Unterwasserarchäologie","Skyllis"
"Slovenská archeológia","SlovA"
"Slovenská numizmatika","SlovNum"
"Studi micenei ed egeo-anatolici","SMEA"
"Sylloge nummorum Graecorum","SNG"
"(Bulletin trimestriel de la) Société de géographie et d’archéologie (de la province) d’Oran","SocGeoAOran"
"Soobščenija Gosudarstvennogo Ėrmitaža","SoobErmit"
"Soobščenija Gosudarstvennogo muzeja izobrazitel’nych isskustv imeni A. S. Puškina","SoobMuzMoskva"
"Sovetskaja archeologija","SovA"
"Spal. Revista de prehistoria y arqueología de la Universidad de Sevilla","Spal"
"Specimina nova dissertationum ex Instituto historico Universitatis Quinqueecclesiensis de Iano Pannonio nominatae","SpNov"
"Spoletium. Rivista di arte, storia, cultura","Spoletium"
"Studia archaeologica","StA"
"Stadion. Internationale Zeitschrift für Geschichte des Sports","Stadion"
"Städel-Jahrbuch","StaedelJb"
"Studia Aegyptiaca. Budapest","StAeg"
"Studia Albanica","StAlb"
"Studi di antichità. Università di Lecce","StAnt"
"StarinarArheoloki institut Beograd","Starinar"
"Studia archeologiczne. Uniwersytet Warszawski, Instytut archeologii","StAWarsz"
"Studium biblicum Franciscanum. Liber annuus","StBiFranc"
"Studi bitontini","StBitont"
"Studien zu den Bogazköy-Texten","StBoT"
"Studii şi cercetări de istorie veche şi arheologie","StCercIstorV"
"Studii şi cercetări de numismatică","StCercNum"
"Studii clasice. Societatea de studii clasice din Republica socialistă Romănia","StCl"
"Studi classici e orientali","StClOr"
"Studi e documenti di archeologia","StDocA"
"Studia et documenta historiae et iuris","StDocHistIur"
"Studi eblaiti","StEbla"
"Studi di egittologia e di antichità puniche","StEgAntPun"
"Studi e materiali. Soprintendenza ai beni archeologici per la Toscana","SteMat"
"Studi epigrafici e linguistici sul Vicino Oriente antico","StEpigrLing"
"Studi etruschi","StEtr"
"Studi genuensi","StGenu"
"Studia historica. Historia antigua","StHist"
"Stiftung zur Förderung der Hamburgischen Kunstsammlungen. Erwerbungen","StiftHambKuSamml"
"Studi italiani di filologia classica","StItFilCl"
"Studi latini e italiani","StLatIt"
"Studi magrebini","StMagreb"
"Studi e materiali di storia delle religioni","StMatStorRel"
"Studia Oliveriana","StOliv"
"Studia orientalia, Helsinki","StOr"
"Studi sull’Oriente cristiano","StOrCr"
"Studia papyrologica","StP"
"Strenna dei romanisti","StrennaRom"
"Studi romani","StRom"
"Studi romagnoli","StRomagn"
"Studi salentini","StSalent"
"Studi sardi","StSard"
"Studi storico-religiosi","StStorRel"
"Studi tardoantichi","StTardoant"
"Studi trentini di scienze storiche. Sezione seconda","StTrentStor"
"Studia Troica","StTroica"
"Studi urbinati. B, Scienze umane. 3, Linguistica, letteratura, arte","StUrbin"
"Sumer. A Journal of Archaeology (and History) in Iraq","Sumer"
"Sylva Mala. Bollettino del Centro di studi archeologici di Boscoreale, Boscotrecase e Trecase","SylvaMala"
"Symbolae Osloenses","SymbOslo"
"Syria. Revue d’art oriental et d’archéologie","Syria"
"Syro-Mesopotamian Studies","SyrMesopSt"
"Türk arkeoloji dergisi","TAD"
"Τάλαντα. Proceedings of the Dutch Archaeological and Historical Society","Talanta"
"E. Kalinka (Hrsg.), Tituli Asiae Minoris (Wien 1901--­1941)","TAM"
"Taras. Rivista di archeologia","Taras"
"Excavations at Gözlü Kule, Tarsus","Tarsus"
"Tübinger Atlas des Vorderen Orients","TAVO"
"Teheraner Forschungen","TeherF"
"Teiresias. A Review and Continuing Bibliography of Boiotian Studies","Teiresias"
"Tel Aviv. Journal of the Institute of Archaeology of Tel Aviv University","TelAvivJA"
"Acta Associationis internationalis »Terra antiqua balcanica«","TerraAntBalc"
"Terra dei Volsci. Annali del Museo archeologico di Frosinone","TerraVolsci"
"Teruel. Instituto de estudios turolenses","Teruel"
"Textiles anciens. Bulletin du Centre international d’étude des textiles anciens","TextilAnc"
"Theologische Rundschau","TheolRu"
"Thesaurus Cultus et Rituum Antiquorum","ThesCRA"
"Θεσσαλικά","Thessalika"
"Η Θεσσαλονίκη","Thessalonike"
"U. Thieme – F. Becker (Hrsg.), Allgemeines Lexikon der bildenden Künstler","Thieme-Becker"
"Θρακικά Χρονικά","ThrakChron"
"Θρακική Επετηρίδα","ThrakEp"
"Tabula Imperii Byzantini","TIB"
"Tibiscus. Istorie, arheologie. Muzeul Banatului Timişoara","Tibiscus"
"Tierras de León","TiLeon"
"Tiryns. Forschungen und Berichte","Tiryns"
"Tijdschrift voor Mediterrane archeologie","TMA"
"Τόποι. Orient – Occident","Topoi"
"La torretta. Rivista quadrimestrale a cura della Biblioteca comunale di Blera","Torretta"
"La Tour de l’Orle-d’Or, Semur-en-Auxois","TourOrleOr"
"Trabalhos de antropologia e etnologia","TrabAntrEtn"
"Trabalhos de arqueologia","TrabArq"
"Trabalhos da associação dos arqueólogos portugueses","TrabAssArqPort"
"Trabajos de arqueología de Navarra","TrabNavarra"
"Trabajos de prehistoria","TrabPrehist"
"Traditio. Studies in Ancient and Medieval History, Thought and Religion","Traditio"
"Transactions and Proceedings of the American Philological Association","TransactAmPhilAss"
"Transactions of the American Philosophical Society","TransactAmPhilosSoc"
"Transactions of the London and Middlesex Archaeological Society","TransactLond"
"Travaux et mémoires. Centre de recherche d’histoire et civilisation byzantine, Paris","TravMem"
"Travaux de l’Institut d’art préhistorique, Université de Toulouse – Le Mirail","TravToulouse"
"Trésors monétaires","TreMonet"
"Tribuna d’arqueologia","TribArq"
"Trudy Gosudarstvennogo Ėrmitaža","TrudyErmit"
"Trierer Winckelmannsprogramme","TrWPr"
"Trierer Zeitschrift für Geschichte und Kunst des Trierer Landes und seiner Nachbargebiete","TrZ"
"Türk Tarih Kurumu yayınları","TTKY"
"Türkiye Bilimler Akademisi arkeoloji dergisi","TueBA-Ar"
"Tyche. Beiträge zur Alten Geschichte, Papyrologie und Epigraphik","Tyche"
"Ugarit-Forschungen. Internationales Jahrbuch für die Altertumskunde Syrien-Palästinas","UF"
"Universitätsforschungen zur Prähistorischen Archäologie","UPA"
"L’Urbe. Rivista romana","LUrbe"
"Ur-Schweiz. La Suisse primitive","UrSchw"
"Vorläufiger Bericht über die von dem Deutschen Archäologischen Institut und der Deutschen Orient-Gesellschaft aus den Mitteln der Deutschen Forschungsgemeinschaft unternommenen Ausgrabungen in Uruk-Warka","UVB"
"Varstvo spomenikov","VarSpom"
"Vestnik drevnej istorii","VDI"
"Vekove. Dvumesečno spisanie. Bălgarsko istoričesko družestvo","Vekove"
"Veleia. Revista de prehistoria, historia antigua, arqueología y filología clásicas","Veleia"
"Venezia arti. Bolletino del Dipartimento di storia e critica delle arti dell’Università di Venezia","VenArt"
"Mededelingenblad. Vereniging van Vrienden Allard Pierson Museum","VerAmstMeded"
"Verbanus. Rassegna per la cultura, l’arte, la storia del lago","Verbanus"
"Vetera christianorum","VeteraChr"
"Veröffentlichungen der Gesellschaft Pro Vindonissa","VGesVind"
"Vichiana. Rassegna di studi filologici e storici","Vichiana"
"Vicino Oriente","VicOr"
"Vigiliae christianae","VigChr"
"Viminacium. Zbornik radova Narodnog muzeja","Viminacium"
"Visible Religion","VisRel"
"Beiträge zum römischen Oberwinterthur – Vitudurum. Ausgrabungen im Unteren Bühl","Vitudurum"
"Vivarium Scyllacense. Bollettino dell’Istituto di studi su Cassiodoro e sul medioevo in Calabria","VivScyl"
"Vizantijskij vremennik","VizVrem"
"Vjesnik Arheološkog muzeja u Zagrebu","VjesAMuzZagreb"
"Vjesnik za arheologiju i historiju dalmatinsku. Bulletin d’archéologie et d’histoire dalmates","VjesDal"
"Wad-al-Hayara. Revista de estudios de la Institución provincial de cultura »Marqués de Santillana« de Guadalajara","Wad-al-Hayara"
"Die Welt als Geschichte","WeltGesch"
"Wiadomości archeologiczne. Bulletin archéologique polonais","WiadA"
"Wissenschaftliche Mitteilungen des Bosnischen Landesmuseums, A. Archäologie","WissMBosn"
"Wissenschaftliche Zeitschrift der Humboldt-Universität zu Berlin. Gesellschafts- und sprachwissenschaftliche Reihe","WissZBerl"
"Wissenschaftliche Zeitschrift. Martin-Luther-Universität Halle-Wittenberg","WissZHalle"
"Wissenschaftliche Zeitschrift der Friedrich-Schiller-Universität Jena","WissZJena"
"Wissenschaftliche Zeitschrift der Universität Rostock","WissZRostock"
"Die Welt des Orients. Wissenschaftliche Beiträge zur Kunde des Morgenlandes","WO"
"World Archaeology","WorldA"
"Wiener Studien","WSt"
"Würzburger Jahrbücher für die Altertumswissenschaft","WuerzbJb"
"Wissenschaftliche Veröffentlichungen der Deutschen Orient-Gesellschaft","WVDOG"
"Wiener Zeitschrift für die Kunde des Morgenlandes","WZKM"
"Xenia. Semestrale di antichità","Xenia"
"Xenia antiqua","XeniaAnt"
"Xenia. Konstanzer althistorische Vorträge und Forschungen","XeniaKonst"
"Yale Classical Studies","YaleClSt"
"Yale University Art Gallery Bulletin","YaleUnivB"
"Zeitschrift für Assyriologie und vorderasiatische Archäologie","ZA"
"Zeitschrift für Archäologie Außereuropäischer Kulturen","ZAAK"
"Zeitschrift für ägyptische Sprache und Altertumskunde","ZAeS"
"Schriften des Zentrums für Archäologie und Kulturgeschichte des Schwarzmeerraumes","ZAKSSchriften"
"Zeitschrift für antikes Christentum","ZAntChr"
"Zeitschrift für die alttestamentliche Wissenschaft","ZAW"
"Zbornik Narodnog muzeja Beograd","ZborMuzBeograd"
"Zbornik radova Vizantološkog instituta. Recueil des travaux de l’Institut d’études byzantines, Beograd","ZborRadBeograd"
"Zbornik Instituta za historijske nauke u Zadru","ZborZadar"
"Zeitschrift der Deutschen Morgenländischen Gesellschaft","ZDMG"
"Zeitschrift des Deutschen Palästina-Vereins","ZDPV"
"Zephyrus. Revista de prehistoria y arqueología","Zephyrus"
"Zeitschrift für Ethnologie der Deutschen Gesellschaft für Völkerkunde und der Berliner Gesellschaft für Anthropologie, Ethnologie und Urgeschichte","ZEthn"
"Zeitschrift für Archäologie","ZfA"
"Zeitschrift für Numismatik","ZfNum"
"Živa antika. Antiquité vivante","ZivaAnt"
"Zeitschrift für Kunstgeschichte","ZKuGesch"
"Zeitschrift für die neutestamentliche Wissenschaft und die Kunde der älteren Kirche","ZNW"
"Zeitschrift für Papyrologie und Epigraphik","ZPE"
"Zeitschrift der Savigny-Stiftung für Rechtsgeschichte. Romanistische Abteilung","ZSav"
"Zeitschrift für Schweizerische Archäologie und Kunstgeschichte","ZSchwA"
"Zeitschrift für vergleichende Sprachforschung","ZVerglSprF"
